Entity,Code,Year,Real GDP per capita ,Population (England)
United Kingdom,GBR,1680,1493.74,5167000
United Kingdom,GBR,1776,2043.29,6913000
United Kingdom,GBR,1798,2214.8,8435000
United Kingdom,GBR,1814,2241.1799,10274000
United Kingdom,GBR,1824,2439.7,12017000
United Kingdom,GBR,1834,2542.3201,13760000
United Kingdom,GBR,1835,2664.8,13921000
United Kingdom,GBR,1837,2646.5701,14261000
United Kingdom,GBR,1847,2972.96,16035000
United Kingdom,GBR,1856,3264.9299,17820000
United Kingdom,GBR,1863,3439.75,19315000
United Kingdom,GBR,1865,3564.3501,19810000
United Kingdom,GBR,1870,3927.1799,21102000
United Kingdom,GBR,1871,4104.1299,21376000
United Kingdom,GBR,1877,4067.54,23194000
United Kingdom,GBR,1883,4273.0,25013000
United Kingdom,GBR,1889,4375.5298,26735000
United Kingdom,GBR,1891,4460.6499,27304000
United Kingdom,GBR,1896,4602.2998,28911000
United Kingdom,GBR,1898,4791.23,29580000
United Kingdom,GBR,1902,4958.0801,30907000
United Kingdom,GBR,1905,4990.8398,31844000
United Kingdom,GBR,1907,5115.8198,32653000
United Kingdom,GBR,1912,5245.1699,33852000
United Kingdom,GBR,1917,5746.9302,34831000
United Kingdom,GBR,1923,4848.0498,35745000
United Kingdom,GBR,1934,5573.46,37913000
United Kingdom,GBR,1939,6434.8301,38973000
United Kingdom,GBR,1940,7012.0098,39339000
United Kingdom,GBR,1941,7665.2598,39145000
United Kingdom,GBR,1949,7098.3999,41214000
United Kingdom,GBR,1951,7615.29,41228000
United Kingdom,GBR,1954,8438.96,41673000
United Kingdom,GBR,1958,9032.5303,42494000
United Kingdom,GBR,1960,9854.6299,43146000
United Kingdom,GBR,1964,10965.48,44648000
United Kingdom,GBR,1968,12045.96,45791000
United Kingdom,GBR,1969,12224.58,46014000
United Kingdom,GBR,1972,13384.1,46572000
United Kingdom,GBR,1973,14215.1,46686000
United Kingdom,GBR,1978,14989.37,46638000
United Kingdom,GBR,1983,16004.08,46814000
United Kingdom,GBR,1985,16982.9,47057000
United Kingdom,GBR,1986,17479.17,47188000
United Kingdom,GBR,1987,18381.65,47300000
United Kingdom,GBR,1988,19409.699,47412000
United Kingdom,GBR,1990,19954.029,47699000
United Kingdom,GBR,1995,21249.51,48383000
United Kingdom,GBR,1997,22305.119,48665000
United Kingdom,GBR,1999,23753.75,49033000
United Kingdom,GBR,2000,24402.141,49233000
United Kingdom,GBR,2002,25549.5,49679000
United Kingdom,GBR,2004,26777.699,50195000
United Kingdom,GBR,2011,26914.74,53107000
United Kingdom,GBR,2016,28982.27,55219000
