Entity,Code,Year,"Coffee, green | 00000656 || Yield | 005419 || tonnes per hectare"
Cape Verde,CPV,1961,0.52
Cape Verde,CPV,1970,0.5182
Cape Verde,CPV,1980,0.25
Cape Verde,CPV,1990,0.2778
Cape Verde,CPV,2021,0.22829999
Polynesia,OWID_PYA,1961,0.1538
Polynesia,OWID_PYA,1970,0.32709998
Polynesia,OWID_PYA,1980,0.2836
Polynesia,OWID_PYA,1990,0.22289999
Polynesia,OWID_PYA,2000,0.32299998
Polynesia,OWID_PYA,2010,0.3383
Polynesia,OWID_PYA,2021,0.33069998
Saudi Arabia,SAU,1961,0.303
Saudi Arabia,SAU,1970,0.3636
Saudi Arabia,SAU,1980,1.1064
