Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,$3.65 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,62.4,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,72.8,,165516224.0,
Benin,BEN,2019,60.5,,12290443.0,
Bhutan,BTN,2019,71.4,,767467.0,
Bolivia,BOL,2019,67.8,5.690216,11777318.0,
Brazil,BRA,2019,75.3,10.754982,211782880.0,
Burkina Faso,BFA,2019,60.0,,20951638.0,
Cape Verde,CPV,2019,76.0,,577037.0,
Central African Republic,CAF,2019,55.0,,5209329.0,
China,CHN,2019,78.0,3.0115652,1421864064.0,
Colombia,COL,2019,76.8,13.7154665,50187404.0,
Cote d'Ivoire,CIV,2019,59.3,,26147544.0,
Egypt,EGY,2019,71.4,17.624195,105618672.0,
Eswatini,SWZ,2019,60.5,,1169620.0,
Ethiopia,ETH,2019,65.8,,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,67.9,12.35582,918472.0,
Gabon,GAB,2019,66.6,,2242788.0,
Germany,DEU,2019,81.6,0.2469338,83148144.0,
Honduras,HND,2019,72.9,26.42796,9958832.0,
India,IND,2019,70.9,45.894085,1383112064.0,
Indonesia,IDN,2019,70.5,24.668669,269582880.0,
Iran,IRN,2019,76.1,5.713168,86564208.0,
Kazakhstan,KAZ,2019,71.6,,18754260.0,
Kiribati,KIR,2019,67.1,19.46133,124252.0,
Laos,LAO,2019,68.1,,7212058.0,
Lesotho,LSO,2019,54.2,,2225710.0,
Malawi,MWI,2019,64.1,89.059975,18867340.0,
Malaysia,MYS,2019,75.8,,32804024.0,
Mali,MLI,2019,59.7,,20567430.0,
Marshall Islands,MHL,2019,64.7,6.111532,44750.0,
Mauritania,MRT,2019,65.7,,4383853.0,
Mexico,MEX,2019,74.2,,125085312.0,
Mozambique,MOZ,2019,61.2,88.60357,30285602.0,
Myanmar,MMR,2019,66.6,,53040212.0,
Namibia,NAM,2019,63.1,,2446648.0,
Nicaragua,NIC,2019,74.1,,6663919.0,
Niger,NER,2019,62.9,,23443400.0,
Nigeria,NGA,2019,52.9,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,66.8,,223293280.0,
Russia,RUS,2019,73.9,0.2661196,145742288.0,
Senegal,SEN,2019,68.5,,16000783.0,
Slovakia,SVK,2019,77.7,0.52073777,5453932.0,
South Africa,ZAF,2019,66.2,,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,55.9,,10447677.0,
Sudan,SDN,2019,65.9,,43232092.0,
Tajikistan,TJK,2019,70.9,,9337008.0,
Tanzania,TZA,2019,67.0,,59872584.0,
Togo,TGO,2019,60.9,,8243093.0,
Uganda,UGA,2019,63.0,71.92594,42949076.0,
Vanuatu,VUT,2019,69.9,34.928368,304414.0,
Yemen,YEM,2019,65.1,,31546694.0,
Zimbabwe,ZWE,2019,61.3,64.50986,15354606.0,
