Entity,Code,Year,$30 a day - Number in poverty,$30 a day - Number not in poverty
Benin,BEN,2018,11898212,42471
Bolivia,BOL,2018,9694359,1912546
Bolivia,BOL,2019,9778792,1998523
Indonesia,IDN,2018,263564073,3502770
Indonesia,IDN,2019,266417324,3165554
Indonesia (rural),,2018,118925919,386193
Indonesia (rural),,2019,118268984,387920
Lithuania,LTU,2018,1511770,1289773
Lithuania,LTU,2019,1350340,1443797
Luxembourg,LUX,2018,64162,543788
Luxembourg,LUX,2019,53669,566332
Malta,MLT,2018,110739,373891
Malta,MLT,2019,96540,407522
Mongolia,MNG,2018,3107703,56288
Niger,NER,2018,22544621,32437
Zimbabwe,ZWE,2019,15170208,184400
