Entity,Code,Year,Births attended by skilled health staff (% of total)
Bulgaria,BGR,1990,99.1
Bulgaria,BGR,1995,98.9
Bulgaria,BGR,2000,99.8
Bulgaria,BGR,2005,99.4
Bulgaria,BGR,2010,99.5
Bulgaria,BGR,2015,99.8
Denmark,DNK,1987,100.0
Denmark,DNK,2000,98.8
Denmark,DNK,2005,98.8
Denmark,DNK,2010,98.5
Denmark,DNK,2015,95.4
Lower-middle-income countries,,2000,45.805706
Lower-middle-income countries,,2010,57.807613
Marshall Islands,MHL,2010,90.0
Pakistan,PAK,2005,31.0
Pakistan,PAK,2015,59.0
Pakistan,PAK,2020,68.0
Tuvalu,TUV,1990,95.0
Tuvalu,TUV,2000,100.0
Tuvalu,TUV,2020,99.5
