Entity,Code,Year,Share of the rural population practicing open defecation,Share of the urban population practicing open defecation,Continent
Afghanistan,AFG,2022,12.048748,0.0,
Africa (WHO),,2022,24.67518,4.493355,
Albania,ALB,2022,0.0,0.0,
Angola,AGO,2022,54.16224,0.0,
Benin,BEN,2022,65.476814,31.208227,
Bolivia,BOL,2022,29.321325,0.0,
Botswana,BWA,2022,15.625662,1.209175,
Burkina Faso,BFA,2022,46.65719,5.550938,
Central African Republic,CAF,2022,38.846153,6.838919,
Chad,TCD,2022,77.58945,15.351354,
Djibouti,DJI,2022,64.13027,2.7070818,
Dominican Republic,DOM,2022,5.1507373,1.1905214,
Ghana,GHA,2022,29.651054,8.437486,
Kiribati,KIR,2022,47.448555,21.690454,
Land Locked Developing Countries,,2022,20.534557,1.9494666,
Laos,LAO,2022,25.882862,0.0,
Liberia,LBR,2022,57.331898,15.709079,
Mauritania,MRT,2022,55.702847,5.04502,
Niger,NER,2022,76.25095,9.5896015,
Sao Tome and Principe,STP,2022,53.53821,38.55543,
Somalia,SOM,2022,40.31213,0.1779929,
Togo,TGO,2022,61.47847,11.37672,
