Entity,Code,Year,Agriculture area under organic agric. | 00006671 || Share in Agricultural land | 007208 || Percent
Belgium,BEL,2004,1.71
Belgium,BEL,2006,2.07
Belgium,BEL,2008,2.62
Belgium,BEL,2010,3.61
Belgium,BEL,2012,4.48
Belgium,BEL,2014,5.01
Belgium,BEL,2016,5.81
Belgium,BEL,2018,6.57
Belgium,BEL,2020,7.26
Greece,GRC,2004,3.09
Greece,GRC,2006,3.84
Greece,GRC,2008,4.15
Greece,GRC,2010,4.14
Greece,GRC,2012,6.35
Greece,GRC,2014,5.85
Greece,GRC,2016,5.58
Greece,GRC,2018,8.29
Greece,GRC,2020,9.11
Spain,ESP,2004,1.93
Spain,ESP,2006,2.58
Spain,ESP,2008,4.01
Spain,ESP,2010,5.21
Spain,ESP,2012,6.52
Spain,ESP,2014,6.26
Spain,ESP,2016,7.69
Spain,ESP,2018,8.58
Spain,ESP,2020,9.33
Sweden,SWE,2004,7.04
Sweden,SWE,2006,7.16
Sweden,SWE,2008,10.94
Sweden,SWE,2010,14.28
Sweden,SWE,2012,15.77
Sweden,SWE,2014,16.54
Sweden,SWE,2016,18.31
Sweden,SWE,2018,20.3
Sweden,SWE,2020,20.31
United Kingdom,GBR,2004,3.87
United Kingdom,GBR,2006,3.38
United Kingdom,GBR,2008,4.07
United Kingdom,GBR,2010,4.05
United Kingdom,GBR,2012,3.42
United Kingdom,GBR,2014,3.12
United Kingdom,GBR,2016,2.85
United Kingdom,GBR,2018,2.67
United Kingdom,GBR,2020,2.72
