Entity,Code,Year,"Current number of cases of measles per 100,000 people, in both sexes aged under 5",Continent,Share - Question: q26 - Vaccines are effective - Answer: Disagree - Gender: all - Age group: all,Year.1
Afghanistan,AFG,2019,43.547222,,1.8311286,2018.0
Albania,ALB,2019,13.541231,,8.965412,2018.0
Algeria,DZA,2019,32.886738,,7.702428,2018.0
Argentina,ARG,2019,0.060101874,,2.9470096,2018.0
Armenia,ARM,2019,0.09062985,,12.468821,2018.0
Azerbaijan,AZE,2019,1.5683583,,8.419122,2018.0
Bangladesh,BGD,2019,30.28905,,0.44854414,2018.0
Belgium,BEL,2019,2.663104,,5.3350105,2018.0
Benin,BEN,2019,225.14061,,6.6086836,2018.0
Botswana,BWA,2019,18.018902,,4.075795,2018.0
Bulgaria,BGR,2019,14.996051,,6.4392586,2018.0
Burkina Faso,BFA,2019,69.62246,,8.622097,2018.0
Cameroon,CMR,2019,90.772285,,9.546399,2018.0
Chad,TCD,2019,129.6396,,7.1028433,2018.0
China,CHN,2019,25.088936,,2.8330152,2018.0
Comoros,COM,2019,208.18857,,2.558276,2018.0
Congo,COG,2019,316.2298,,3.4319572,2018.0
Egypt,EGY,2019,12.532124,,0.59980553,2018.0
France,FRA,2019,2.5306144,,18.279898,2018.0
Gabon,GAB,2019,192.68768,,11.639642,2018.0
Georgia,GEO,2019,72.64503,,5.148997,2018.0
Hungary,HUN,2019,0.2288314,,1.3463554,2018.0
Indonesia,IDN,2019,47.91398,,11.550375,2018.0
Iraq,IRQ,2019,63.82908,,3.8726807,2019.0
Jordan,JOR,2019,116.07058,,2.337959,2018.0
Lebanon,LBN,2019,101.3792,,1.10874,2018.0
Liberia,LBR,2019,112.54499,,27.58858,2018.0
Madagascar,MDG,2019,202.2522,,4.9971952,2018.0
Mali,MLI,2019,89.48904,,4.690276,2018.0
Mauritania,MRT,2019,35.38104,,5.2277555,2018.0
Mauritius,MUS,2019,117.89519,,5.4296064,2018.0
Mozambique,MOZ,2019,24.99955,,9.172432,2018.0
Namibia,NAM,2019,1.4261913,,15.706316,2018.0
Niger,NER,2019,236.09055,,3.4455779,2018.0
Nigeria,NGA,2019,54.063755,,15.966202,2018.0
Philippines,PHL,2019,112.21226,,8.878665,2018.0
Thailand,THA,2019,69.87493,,2.250121,2018.0
Togo,TGO,2019,30.720228,,12.200869,2018.0
Uganda,UGA,2019,236.27939,,13.627934,2018.0
