Entity,Code,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Continent,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter).1",Year.1
Afghanistan,AFG,1990,65.48679,,56.91081,2017.0
Afghanistan,AFG,2017,56.91081,,56.91081,2017.0
Albania,ALB,1990,22.718664,,18.200602,2017.0
Albania,ALB,2017,18.200602,,18.200602,2017.0
Algeria,DZA,1990,36.930256,,38.88401,2017.0
Algeria,DZA,2017,38.88401,,38.88401,2017.0
American Samoa,ASM,1990,12.479083,,12.473821,2017.0
American Samoa,ASM,2017,12.473821,,12.473821,2017.0
Angola,AGO,1990,36.448116,,32.388504,2017.0
Angola,AGO,2017,32.388504,,32.388504,2017.0
Argentina,ARG,1990,16.22053,,13.311834,2017.0
Argentina,ARG,2017,13.311834,,13.311834,2017.0
Bahrain,BHR,1990,68.15876,,70.81621,2017.0
Bahrain,BHR,2017,70.81621,,70.81621,2017.0
Bangladesh,BGD,1990,61.59563,,60.845783,2017.0
Bangladesh,BGD,2017,60.845783,,60.845783,2017.0
Barbados,BRB,1990,28.212523,,23.080175,2017.0
Barbados,BRB,2017,23.080175,,23.080175,2017.0
Benin,BEN,1990,40.220135,,38.999958,2017.0
Benin,BEN,2017,38.999958,,38.999958,2017.0
Brunei,BRN,1990,6.7322984,,5.9030657,2017.0
Brunei,BRN,2017,5.9030657,,5.9030657,2017.0
Burkina Faso,BFA,1990,46.01466,,42.935593,2017.0
Burkina Faso,BFA,2017,42.935593,,42.935593,2017.0
Cameroon,CMR,1990,75.006676,,72.7931,2017.0
Cameroon,CMR,2017,72.7931,,72.7931,2017.0
Central African Republic,CAF,1990,53.287155,,56.8285,2017.0
Central African Republic,CAF,2017,56.8285,,56.8285,2017.0
Chad,TCD,1990,65.720985,,66.029205,2017.0
Chad,TCD,2017,66.029205,,66.029205,2017.0
China,CHN,1990,57.765007,,52.664597,2017.0
China,CHN,2017,52.664597,,52.664597,2017.0
Djibouti,DJI,1990,40.877167,,45.549618,2017.0
Djibouti,DJI,2017,45.549618,,45.549618,2017.0
Egypt,EGY,1990,75.475266,,86.99945,2017.0
Egypt,EGY,2017,86.99945,,86.99945,2017.0
Guinea,GIN,1990,24.693373,,26.06249,2017.0
Guinea,GIN,2017,26.06249,,26.06249,2017.0
Guinea-Bissau,GNB,1990,30.589193,,29.774702,2017.0
Guinea-Bissau,GNB,2017,29.774702,,29.774702,2017.0
India,IND,1990,81.290634,,90.87321,2017.0
India,IND,2017,90.87321,,90.87321,2017.0
Libya,LBY,1990,45.063488,,54.25468,2017.0
Libya,LBY,2017,54.25468,,54.25468,2017.0
Mauritania,MRT,1990,50.06832,,47.422993,2017.0
Mauritania,MRT,2017,47.422993,,47.422993,2017.0
Nepal,NPL,1990,87.59846,,99.734375,2017.0
Nepal,NPL,2017,99.734375,,99.734375,2017.0
Qatar,QAT,1990,91.63639,,91.187325,2017.0
Qatar,QAT,2017,91.187325,,91.187325,2017.0
Saudi Arabia,SAU,1990,70.57307,,87.94545,2017.0
Saudi Arabia,SAU,2017,87.94545,,87.94545,2017.0
Sri Lanka,LKA,1990,29.768503,,11.099617,2017.0
Sri Lanka,LKA,2017,11.099617,,11.099617,2017.0
