Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged all ages"
Central African Republic,CAF,1990,231.94055
Central African Republic,CAF,1995,210.84485
Central African Republic,CAF,2000,180.06047
Central African Republic,CAF,2005,155.3431
Central African Republic,CAF,2010,151.67595
Central African Republic,CAF,2015,152.55981
Central African Republic,CAF,2019,138.99371
Chad,TCD,1990,255.84561
Chad,TCD,1995,234.90202
Chad,TCD,2000,237.57338
Chad,TCD,2005,240.68408
Chad,TCD,2010,224.6932
Chad,TCD,2015,188.12044
Chad,TCD,2019,161.33281
Niger,NER,1990,393.43613
Niger,NER,1995,357.25443
Niger,NER,2000,292.71768
Niger,NER,2005,240.07602
Niger,NER,2010,147.97185
Niger,NER,2015,126.07408
Niger,NER,2019,106.09943
Nigeria,NGA,1990,276.9585
Nigeria,NGA,1995,227.15938
Nigeria,NGA,2000,195.76962
Nigeria,NGA,2005,151.64476
Nigeria,NGA,2010,125.95785
Nigeria,NGA,2015,91.924355
Nigeria,NGA,2019,73.2189
