Entity,Code,Year,Trade (% of GDP)
Austria,AUT,1970,54.86039
Austria,AUT,1980,66.825005
Austria,AUT,1990,71.48837
Austria,AUT,2000,85.3605
Austria,AUT,2010,99.0198
Austria,AUT,2021,111.22229
Bangladesh,BGD,1960,19.303944
Bangladesh,BGD,1970,20.820597
Bangladesh,BGD,1980,23.377232
Bangladesh,BGD,1990,18.966501
Bangladesh,BGD,2000,29.321714
Bangladesh,BGD,2010,37.80284
Bangladesh,BGD,2021,27.724005
Bolivia,BOL,1960,40.14289
Bolivia,BOL,1970,48.957127
Bolivia,BOL,1980,46.813007
Bolivia,BOL,1990,46.703274
Bolivia,BOL,2000,45.597775
Bolivia,BOL,2010,75.51163
Bolivia,BOL,2021,59.018333
Libya,LBY,1990,70.7978
Libya,LBY,2000,45.281094
Libya,LBY,2010,98.07721
