Entity,Code,Year,"Current number of cases of alcohol use disorders per 100 people, in both sexes aged age-standardized","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Population (historical estimates),Continent
Africa,,2018,,,1295265310.0,
Andorra,AND,2018,2.0795834,11.02,75034.0,
Angola,AGO,2018,1.0560993,6.94,31273538.0,
Argentina,ARG,2018,2.075138,9.65,44413592.0,
Asia,,2018,,,4588802751.0,
Austria,AUT,2018,2.5276937,11.96,8840518.0,
Azerbaijan,AZE,2018,2.5167665,4.41,10152524.0,
Bangladesh,BGD,2018,1.0935899,0.019,163683952.0,
Bhutan,BTN,2018,2.4894638,0.43,762104.0,
Botswana,BWA,2018,1.8579694,6.59,2451411.0,
Brazil,BRA,2018,3.0010955,7.42,210166592.0,
Brunei,BRN,2018,0.8884104,0.48,434283.0,
Bulgaria,BGR,2018,1.7496496,12.65,7117424.0,
Burkina Faso,BFA,2018,0.54466933,12.03,20392730.0,
Cameroon,CMR,2018,0.55145025,5.65,25076752.0,
Chile,CHL,2018,2.628463,9.07,18701452.0,
China,CHN,2018,1.1751071,7.05,1417069440.0,
Colombia,COL,2018,2.0411048,5.74,49276968.0,
Costa Rica,CRI,2018,1.7535247,4.87,5040738.0,
Czechia,CZE,2018,2.2086535,14.45,10534598.0,
Democratic Republic of Congo,COD,2018,1.0000806,2.0,87087352.0,
Ethiopia,ETH,2018,2.5826275,2.36,111129440.0,
Europe,,2018,,,746577709.0,
Gambia,GMB,2018,0.5006972,3.55,2444916.0,
Georgia,GEO,2018,2.170821,8.25,3772323.0,
Germany,DEU,2018,1.9872966,12.91,82896696.0,
Guatemala,GTM,2018,3.2603376,2.45,16850176.0,
Haiti,HTI,2018,1.4474139,2.73,11012427.0,
Honduras,HND,2018,2.1772134,3.76,9792854.0,
India,IND,2018,1.1991142,5.54,1369003264.0,
Indonesia,IDN,2018,0.47657195,0.57,267066848.0,
Iran,IRN,2018,0.30674464,1.03,85617560.0,
Israel,ISR,2018,0.85325384,4.21,8456487.0,
Italy,ITA,2018,1.4486431,7.84,59877432.0,
Japan,JPN,2018,0.58273256,7.96,126255872.0,
Kazakhstan,KAZ,2018,3.504334,4.76,18538100.0,
Kenya,KEN,2018,0.7082455,2.78,49953300.0,
Laos,LAO,2018,0.8307289,10.72,7105008.0,
Latvia,LVA,2018,2.1378303,12.77,1935632.0,
Moldova,MDA,2018,1.9017437,11.43,3141839.0,
Mongolia,MNG,2018,4.0558085,8.19,3163994.0,
Mozambique,MOZ,2018,1.609266,2.3,29423882.0,
Myanmar,MMR,2018,0.7706076,5.12,52666016.0,
Nepal,NPL,2018,1.1795336,2.05,28506718.0,
Netherlands,NLD,2018,1.5683215,9.61,17286042.0,
Nigeria,NGA,2018,0.492688,10.84,198387616.0,
North America,,2018,,,585864285.0,
Oceania,,2018,,,42540030.0,
Pakistan,PAK,2018,1.3625381,0.34,219731488.0,
Paraguay,PRY,2018,2.5503676,7.58,6443337.0,
Philippines,PHL,2018,0.77374345,6.86,108568832.0,
Poland,POL,2018,2.9749906,11.71,38521464.0,
Russia,RUS,2018,2.6961374,11.19,145652288.0,
Rwanda,RWA,2018,3.082134,8.95,12531810.0,
Seychelles,SYC,2018,0.73729056,20.5,103120.0,
Slovenia,SVN,2018,2.3540792,11.9,2105931.0,
South Africa,ZAF,2018,1.8269802,9.52,57339632.0,
South America,,2018,,,424740741.0,
Spain,ESP,2018,1.5974233,12.72,46792044.0,
Tanzania,TZA,2018,1.3877043,11.27,58090444.0,
Tonga,TON,2018,0.64080113,0.8,105167.0,
Turkey,TUR,2018,0.4818166,2.05,82809304.0,
Uganda,UGA,2018,0.82818305,15.09,41515400.0,
Ukraine,UKR,2018,2.3159802,8.32,44446952.0,
United Kingdom,GBR,2018,3.1287603,11.45,66432996.0,
United States,USA,2018,2.2915533,9.87,332140032.0,
Uruguay,URY,2018,1.6745104,6.92,3427044.0,
Uzbekistan,UZB,2018,1.8070912,2.59,32449578.0,
Venezuela,VEN,2018,1.4560639,4.14,29825652.0,
Vietnam,VNM,2018,1.2074283,8.66,94914328.0,
World,OWID_WRL,2018,1.3347819,6.170357,7683789824.0,
Zimbabwe,ZWE,2018,1.6127414,4.67,15052191.0,
