Entity,Code,Year,Number of colonies by region
Africa,,1500,2
Africa,,1600,4
Africa,,1700,6
Africa,,1800,7
Africa,,1900,41
Africa,,2022,0
Asia,,1500,0
Asia,,1600,2
Asia,,1700,3
Asia,,1800,4
Asia,,1900,16
Asia,,2022,0
Europe,,1500,0
Europe,,1600,0
Europe,,1700,0
Europe,,1800,0
Europe,,1900,0
Europe,,2022,0
North America,,1500,1
North America,,1600,12
North America,,1700,21
North America,,1800,21
North America,,1900,12
North America,,2022,0
Oceania,,1500,0
Oceania,,1600,0
Oceania,,1700,1
Oceania,,1800,1
Oceania,,1900,13
Oceania,,2022,0
South America,,1500,0
South America,,1600,10
South America,,1700,12
South America,,1800,12
South America,,1900,2
South America,,2022,0
