Entity,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2018,0.21,2060.699,
Albania,ALB,2018,7.17,13319.495,
Algeria,DZA,2018,0.95,11725.878,
Angola,AGO,2018,6.94,6878.5933,
Antigua and Barbuda,ATG,2018,6.38,22085.262,
Argentina,ARG,2018,9.65,22747.242,
Armenia,ARM,2018,5.55,13231.431,
Australia,AUS,2018,10.51,49052.816,
Austria,AUT,2018,11.96,55217.285,
Azerbaijan,AZE,2018,4.41,14209.593,
Bahamas,BHS,2018,4.78,34735.125,
Bahrain,BHR,2018,1.09,48937.66,
Bangladesh,BGD,2018,0.019,5124.4985,
Barbados,BRB,2018,9.69,16003.857,
Belarus,BLR,2018,11.45,18974.7,
Benin,BEN,2018,2.81,3040.1675,
Bolivia,BOL,2018,4.43,8466.293,
Bulgaria,BGR,2018,12.65,22210.123,
Burkina Faso,BFA,2018,12.03,2051.2185,
Burundi,BDI,2018,7.19,740.44824,
Cambodia,KHM,2018,6.64,4217.6216,
Cameroon,CMR,2018,5.65,3732.5012,
Canada,CAN,2018,8.94,48962.48,
Cape Verde,CPV,2018,5.6,6534.4604,
Central African Republic,CAF,2018,2.38,854.64746,
Chad,TCD,2018,1.37,1563.544,
Comoros,COM,2018,0.69,3294.832,
Congo,COG,2018,9.27,3786.412,
Costa Rica,CRI,2018,4.87,20503.277,
Cote d'Ivoire,CIV,2018,2.71,4949.6147,
Czechia,CZE,2018,14.45,39941.285,
Dominica,DMA,2018,11.18,11849.302,
Equatorial Guinea,GNQ,2018,7.23,17764.969,
Estonia,EST,2018,9.23,34979.867,
Eswatini,SWZ,2018,10.04,8342.998,
Ethiopia,ETH,2018,2.36,2067.4565,
Fiji,FJI,2018,3.32,13311.167,
Gabon,GAB,2018,8.74,14254.462,
Gambia,GMB,2018,3.55,2012.5908,
Germany,DEU,2018,12.91,53431.395,
Guatemala,GTM,2018,2.45,8469.115,
Guinea,GIN,2018,1.11,2471.719,
Guinea-Bissau,GNB,2018,5.38,1851.8866,
Honduras,HND,2018,3.76,5561.2627,
Hungary,HUN,2018,11.35,31122.502,
Iraq,IRQ,2018,0.39,9995.05,
Ireland,IRL,2018,12.88,83340.39,
Italy,ITA,2018,7.84,42045.92,
Kuwait,KWT,2018,0.003,48943.008,
Latvia,LVA,2018,12.77,30051.402,
Lebanon,LBN,2018,1.71,17970.94,
Lesotho,LSO,2018,4.59,2541.4526,
Liberia,LBR,2018,6.12,1521.7335,
Libya,LBY,2018,0.019,25734.168,
Malawi,MWI,2018,3.63,1478.4248,
Malaysia,MYS,2018,0.85,26835.81,
Nepal,NPL,2018,2.05,3719.3079,
Niger,NER,2018,0.67,1193.2656,
Nigeria,NGA,2018,10.84,5089.778,
North America (WB),,2018,9.772323,60097.098,
Norway,NOR,2018,7.41,64341.258,
Panama,PAN,2018,7.98,31125.625,
Peru,PER,2018,6.38,12696.236,
Qatar,QAT,2018,1.59,91461.62,
Rwanda,RWA,2018,8.95,2050.441,
Seychelles,SYC,2018,20.5,28740.55,
Spain,ESP,2018,12.72,40255.254,
Tanzania,TZA,2018,11.27,2510.9663,
Tonga,TON,2018,0.8,6287.882,
Turkey,TUR,2018,2.05,28157.979,
Uganda,UGA,2018,15.09,2186.9072,
United Arab Emirates,ARE,2018,3.9,71550.555,
Vietnam,VNM,2018,8.66,9636.013,
