Entity,Code,Year,Share of the population using improved sanitation facilities,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2021,65.9693,1516.3057,
Albania,ALB,2021,99.86896,14518.906,
Algeria,DZA,2021,96.608894,11039.806,
Angola,AGO,2021,73.06393,5908.57,
Antigua and Barbuda,ATG,2021,97.40282,19124.43,
Aruba,ABW,2021,98.8006,38866.332,
Australia,AUS,2021,100.0,49774.34,
Bangladesh,BGD,2021,83.23656,5911.013,
Belize,BLZ,2021,97.268425,8762.623,
Benin,BEN,2021,39.24818,3321.5522,
Bermuda,BMU,2021,99.94165,80271.13,
Bhutan,BTN,2021,87.90799,10907.856,
Botswana,BWA,2021,85.818245,14840.913,
Brazil,BRA,2021,90.90762,14592.353,
Burkina Faso,BFA,2021,56.37974,2179.789,
Burundi,BDI,2021,58.475758,705.0304,
Cameroon,CMR,2021,59.843597,3700.4644,
Cape Verde,CPV,2021,89.69758,6114.1333,
Central African Republic,CAF,2021,29.966228,837.5047,
Chad,TCD,2021,18.24577,1425.4945,
Cote d'Ivoire,CIV,2021,63.021183,5325.0303,
Democratic Republic of Congo,COD,2021,33.8246,1073.6433,
Ethiopia,ETH,2021,17.616302,2319.0684,
Gabon,GAB,2021,78.805046,13813.723,
Gambia,GMB,2021,60.42433,2076.5664,
Guatemala,GTM,2021,80.135994,8926.7,
Guinea-Bissau,GNB,2021,45.38231,1831.3832,
Haiti,HTI,2021,65.94389,2870.145,
Kyrgyzstan,KGZ,2021,99.999916,4814.9565,
Lesotho,LSO,2021,71.56099,2295.2322,
Liberia,LBR,2021,48.10598,1423.2296,
Malawi,MWI,2021,72.446175,1491.1339,
Mozambique,MOZ,2021,40.941612,1226.767,
Myanmar,MMR,2021,85.82874,4032.6257,
Namibia,NAM,2021,48.522137,9137.797,
Nepal,NPL,2021,90.64561,3831.9485,
Niger,NER,2021,25.584576,1186.5768,
Pakistan,PAK,2021,79.470764,5232.1426,
Panama,PAN,2021,87.95064,29037.945,
Papua New Guinea,PNG,2021,23.542814,3677.4602,
Rwanda,RWA,2021,87.78017,2238.9573,
Sao Tome and Principe,STP,2021,53.421497,4052.1233,
Senegal,SEN,2021,76.0909,3495.4036,
Somalia,SOM,2021,57.28123,1136.736,
Tanzania,TZA,2021,49.649048,2581.6997,
Uganda,UGA,2021,37.749157,2246.414,
Vietnam,VNM,2021,92.7289,10628.219,
