Entity,Code,Year,"10.4.2 - Redistributive impact of fiscal policy, Gini index (%) - SI_DST_FISP - Postfiscal disposable income","10.4.2 - Redistributive impact of fiscal policy, Gini index (%) - SI_DST_FISP - Prefiscal income",Population,Continent
Africa,,2020,,,1360677453.0,
Argentina,ARG,2020,,,45036032.0,
Asia,,2020,,,4663086623.0,
Belarus,BLR,2020,,,9633745.0,
Belgium,BEL,2020,0.2606,0.4115999999999999,11561716.0,
Chile,CHL,2020,,,19300318.0,
Colombia,COL,2020,,,50930656.0,
Costa Rica,CRI,2020,0.4913,0.5525,5123107.0,
Egypt,EGY,2020,,,107465128.0,
El Salvador,SLV,2020,,,6292734.0,
Ethiopia,ETH,2020,,,117190920.0,
Europe,,2020,,,747462669.0,
France,FRA,2020,,,64480052.0,
Gambia,GMB,2020,,,2574005.0,
Germany,DEU,2020,,,83328992.0,
Indonesia,IDN,2020,,,271857984.0,
Italy,ITA,2020,,,59500576.0,
Japan,JPN,2020,,,125244760.0,
Kenya,KEN,2020,,,51985780.0,
Kyrgyzstan,KGZ,2020,,,6424880.0,
Lesotho,LSO,2020,,,2254104.0,
Namibia,NAM,2020,,,2489099.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Slovakia,SVK,2020,0.2173999999999999,0.3157999999999999,5456681.0,
Slovenia,SVN,2020,0.2448999999999999,0.3781,2117648.0,
South Africa,ZAF,2020,,,58801928.0,
South America,,2020,,,431530105.0,
Sweden,SWE,2020,,,10368968.0,
Togo,TGO,2020,,,8442583.0,
Ukraine,UKR,2020,,,43909664.0,
United Kingdom,GBR,2020,,,67059472.0,
United States,USA,2020,0.3866,0.4667,335942016.0,
Zambia,ZMB,2020,,,18927716.0,
