Entity,Code,Year,Rye | 00000071 || Production | 005510 || tonnes
Belarus,BLR,2000,1359900.0
Belarus,BLR,2010,734606.0
Belarus,BLR,2021,845000.0
Ecuador,ECU,1961,4100.0
Ecuador,ECU,1970,2000.0
Ecuador,ECU,1980,1000.0
Ecuador,ECU,1990,85.0
Ecuador,ECU,2000,70.0
Ecuador,ECU,2010,87.16
Ecuador,ECU,2021,81.19
Hungary,HUN,1961,309856.0
Hungary,HUN,1970,157783.0
Hungary,HUN,1980,140964.0
Hungary,HUN,1990,231520.0
Hungary,HUN,2000,86484.0
Hungary,HUN,2010,78170.0
Hungary,HUN,2021,85010.0
Lithuania,LTU,2000,311400.0
Lithuania,LTU,2010,87000.0
Lithuania,LTU,2021,63470.0
United States,USA,1961,694000.0
United States,USA,1970,935773.0
United States,USA,1980,405350.0
United States,USA,1990,258500.0
United States,USA,2000,213010.0
United States,USA,2010,190000.0
United States,USA,2021,249130.0
