Entity,Code,Year,"Commercial bank branches (per 100,000 adults)"
Bangladesh,BGD,2004,7.124846
Bangladesh,BGD,2006,7.1004267
Bangladesh,BGD,2008,7.1837287
Bangladesh,BGD,2010,7.659616
Bangladesh,BGD,2012,8.0751095
Bangladesh,BGD,2014,8.452602
Bangladesh,BGD,2016,8.710495
Bangladesh,BGD,2018,8.94265
Bangladesh,BGD,2020,8.895153
Bangladesh,BGD,2021,8.975323
India,IND,2004,8.9320345
India,IND,2006,8.831113
India,IND,2008,9.255915
India,IND,2010,9.988923
India,IND,2012,11.130309
India,IND,2014,12.825425
India,IND,2016,14.208096
India,IND,2018,14.463957
India,IND,2020,14.747688
India,IND,2021,14.581214
Nepal,NPL,2004,2.5562825
Nepal,NPL,2006,2.5503674
Nepal,NPL,2008,3.4803383
Nepal,NPL,2010,5.0957613
Nepal,NPL,2012,8.537573
Nepal,NPL,2014,8.875539
Nepal,NPL,2016,10.281193
Nepal,NPL,2018,15.462435
Nepal,NPL,2020,21.51613
Nepal,NPL,2021,22.266672
Pakistan,PAK,2004,7.5850797
Pakistan,PAK,2006,7.79785
Pakistan,PAK,2008,8.327945
Pakistan,PAK,2010,8.38443
Pakistan,PAK,2012,8.750522
Pakistan,PAK,2014,9.307025
Pakistan,PAK,2016,9.950468
Pakistan,PAK,2018,10.27765
Pakistan,PAK,2020,10.314729
Pakistan,PAK,2021,10.377506
World,OWID_WRL,2004,9.976945
World,OWID_WRL,2006,11.001029
World,OWID_WRL,2008,11.698971
World,OWID_WRL,2010,10.95854
World,OWID_WRL,2012,11.515968
World,OWID_WRL,2014,12.216928
World,OWID_WRL,2016,12.280686
World,OWID_WRL,2018,11.448437
World,OWID_WRL,2020,10.683938
World,OWID_WRL,2021,11.214372
