Entity,Code,Year,Fossil fuels (% equivalent primary energy)
Canada,CAN,1965,74.835205
Canada,CAN,1970,74.81745
Canada,CAN,1980,68.48065
Canada,CAN,1990,63.685005
Canada,CAN,2000,64.6082
Canada,CAN,2010,65.8017
Canada,CAN,2022,63.860355
Czechia,CZE,1965,98.59222
Czechia,CZE,1970,99.040115
Czechia,CZE,1980,98.857376
Czechia,CZE,1990,92.84067
Czechia,CZE,2000,90.27807
Czechia,CZE,2010,81.59334
Czechia,CZE,2022,75.85889
Ireland,IRL,1980,97.5344
Ireland,IRL,1990,98.251686
Ireland,IRL,2000,97.96563
Ireland,IRL,2010,93.53165
Ireland,IRL,2022,79.86834
Luxembourg,LUX,1965,99.38876
Luxembourg,LUX,1970,99.46534
Luxembourg,LUX,1980,99.222565
Luxembourg,LUX,1990,99.3354
Luxembourg,LUX,2000,98.62963
Luxembourg,LUX,2010,97.49977
Luxembourg,LUX,2022,89.149216
Non-OECD (EI),,1965,95.12875
Non-OECD (EI),,1970,94.38424
Non-OECD (EI),,1980,92.591545
Non-OECD (EI),,1990,91.007385
Non-OECD (EI),,2000,89.45889
Non-OECD (EI),,2010,89.873795
Non-OECD (EI),,2022,84.54662
Romania,ROU,1965,98.93378
Romania,ROU,1970,98.10196
Romania,ROU,1980,94.89408
Romania,ROU,1990,95.40976
Romania,ROU,2000,85.92068
Romania,ROU,2010,77.77126
Romania,ROU,2022,74.205246
