Entity,Code,Year,Life expectancy difference (f-m) - Type: period - Sex: both - Age: 45
Croatia,HRV,1960,3.3522015
Croatia,HRV,1980,5.6247025
Croatia,HRV,2000,5.910902
Croatia,HRV,2021,6.4092007
Finland,FIN,1878,2.0300007
Finland,FIN,1900,2.0699997
Finland,FIN,1920,4.0300007
Finland,FIN,1940,4.5600014
Finland,FIN,1960,5.139
Finland,FIN,1980,7.085701
Finland,FIN,2000,5.7218018
Finland,FIN,2021,4.6814003
Sudan,SDN,1960,0.80659866
Sudan,SDN,1980,1.8788013
Sudan,SDN,2000,2.8072014
Sudan,SDN,2021,2.910801
Vietnam,VNM,1960,3.5678997
Vietnam,VNM,1980,4.182102
Vietnam,VNM,2000,5.9804993
Vietnam,VNM,2021,6.4245987
