Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Infant mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Germany,DEU,1970,2.2062898
Germany,DEU,1980,1.2574296
Germany,DEU,1990,0.6985794
Germany,DEU,2000,0.43800774
Germany,DEU,2010,0.34748346
Germany,DEU,2021,0.30310947
India,IND,1960,16.189625
India,IND,1970,14.354665
India,IND,1980,11.517402
India,IND,1990,8.879131
India,IND,2000,6.6653786
India,IND,2010,4.505235
India,IND,2021,2.5487666
Japan,JPN,1949,6.211049
Japan,JPN,1960,3.0398855
Japan,JPN,1970,1.3357947
Japan,JPN,1980,0.73829246
Japan,JPN,1990,0.45828938
Japan,JPN,2000,0.3279974
Japan,JPN,2010,0.23445305
Japan,JPN,2021,0.17361492
Malaysia,MYS,1960,6.825555
Malaysia,MYS,1970,4.3216467
Malaysia,MYS,1980,2.5177846
Malaysia,MYS,1990,1.4258906
Malaysia,MYS,2000,0.87183666
Malaysia,MYS,2010,0.6964308
Malaysia,MYS,2021,0.6462966
Mexico,MEX,1960,10.671844
Mexico,MEX,1970,7.619376
Mexico,MEX,1980,5.3895044
Mexico,MEX,1990,3.6245136
Mexico,MEX,2000,2.3690486
Mexico,MEX,2010,1.6412987
Mexico,MEX,2021,1.1397763
Nigeria,NGA,1970,16.817032
Nigeria,NGA,1980,12.599356
Nigeria,NGA,1990,12.42076
Nigeria,NGA,2000,10.958893
Nigeria,NGA,2010,8.44285
Nigeria,NGA,2021,7.058853
South Africa,ZAF,1980,6.8566504
South Africa,ZAF,1990,4.780526
South Africa,ZAF,2000,4.88836
South Africa,ZAF,2010,3.5675914
South Africa,ZAF,2021,2.6427197
United States,USA,1949,3.3340993
United States,USA,1960,2.588479
United States,USA,1970,1.9858105
United States,USA,1980,1.2613566
United States,USA,1990,0.9396035
United States,USA,2000,0.7115466
United States,USA,2010,0.62465733
United States,USA,2021,0.53590596
