Entity,Code,Year,Time required to start a business (days)
Botswana,BWA,2003,125.0
Botswana,BWA,2004,125.0
Botswana,BWA,2006,105.0
Botswana,BWA,2008,74.0
Botswana,BWA,2010,59.0
Botswana,BWA,2012,40.0
Botswana,BWA,2014,48.0
Botswana,BWA,2016,48.0
Botswana,BWA,2018,48.0
Botswana,BWA,2019,48.0
Egypt,EGY,2003,42.5
Egypt,EGY,2004,42.5
Egypt,EGY,2006,23.5
Egypt,EGY,2008,12.5
Egypt,EGY,2010,12.5
Egypt,EGY,2012,12.5
Egypt,EGY,2014,12.5
Egypt,EGY,2016,16.5
Egypt,EGY,2018,11.5
Egypt,EGY,2019,12.5
Fiji,FJI,2003,31.0
Fiji,FJI,2004,31.0
Fiji,FJI,2006,44.0
Fiji,FJI,2008,44.0
Fiji,FJI,2010,44.0
Fiji,FJI,2012,58.0
Fiji,FJI,2014,58.0
Fiji,FJI,2016,40.0
Fiji,FJI,2018,40.0
Fiji,FJI,2019,40.0
Ghana,GHA,2003,21.0
Ghana,GHA,2004,21.0
Ghana,GHA,2006,17.0
Ghana,GHA,2008,11.0
Ghana,GHA,2010,11.0
Ghana,GHA,2012,11.0
Ghana,GHA,2014,14.0
Ghana,GHA,2016,14.0
Ghana,GHA,2018,14.0
Ghana,GHA,2019,13.0
Hungary,HUN,2003,54.0
Hungary,HUN,2004,54.0
Hungary,HUN,2006,39.0
Hungary,HUN,2008,6.0
Hungary,HUN,2010,5.0
Hungary,HUN,2012,7.0
Hungary,HUN,2014,7.0
Hungary,HUN,2016,7.0
Hungary,HUN,2018,7.0
Hungary,HUN,2019,7.0
Iceland,ISL,2004,5.0
Iceland,ISL,2006,5.0
Iceland,ISL,2008,5.0
Iceland,ISL,2010,5.0
Iceland,ISL,2012,4.5
Iceland,ISL,2014,12.0
Iceland,ISL,2016,11.5
Iceland,ISL,2018,11.5
Iceland,ISL,2019,11.5
South Asia (WB),,2003,39.5
South Asia (WB),,2004,31.5
South Asia (WB),,2006,31.5
South Asia (WB),,2008,28.1
South Asia (WB),,2010,27.3
South Asia (WB),,2012,19.3
South Asia (WB),,2014,17.25
South Asia (WB),,2016,16.1875
South Asia (WB),,2018,14.0625
South Asia (WB),,2019,14.5625
