Entity,Code,Year,Deaths - Venomous animal contact - Sex: Both - Age: Age-standardized (Rate)
Australia,AUS,1990,0.04
Australia,AUS,1995,0.04
Australia,AUS,2000,0.03
Australia,AUS,2005,0.02
Australia,AUS,2010,0.02
Australia,AUS,2015,0.02
Australia,AUS,2019,0.02
India,IND,1990,9.09
India,IND,1995,8.23
India,IND,2000,7.72
India,IND,2005,6.55
India,IND,2010,5.68
India,IND,2015,4.8
India,IND,2019,4.56
Lesotho,LSO,1990,1.48
Lesotho,LSO,1995,1.43
Lesotho,LSO,2000,1.56
Lesotho,LSO,2005,1.57
Lesotho,LSO,2010,1.43
Lesotho,LSO,2015,1.31
Lesotho,LSO,2019,1.19
Pakistan,PAK,1990,1.34
Pakistan,PAK,1995,1.44
Pakistan,PAK,2000,1.48
Pakistan,PAK,2005,1.38
Pakistan,PAK,2010,1.37
Pakistan,PAK,2015,1.29
Pakistan,PAK,2019,1.23
South Sudan,SSD,1990,3.91
South Sudan,SSD,1995,4.0
South Sudan,SSD,2000,3.85
South Sudan,SSD,2005,3.82
South Sudan,SSD,2010,3.69
South Sudan,SSD,2015,3.37
South Sudan,SSD,2019,3.11
