Entity,Code,Year,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number)
China,CHN,1990,26
China,CHN,1995,6
China,CHN,2000,201
China,CHN,2005,25
China,CHN,2010,19
China,CHN,2015,211
China,CHN,2019,0
France,FRA,1990,8
France,FRA,1995,27
France,FRA,2000,18
France,FRA,2005,6
France,FRA,2010,17
France,FRA,2015,295
France,FRA,2019,0
Germany,DEU,1990,67
Germany,DEU,1995,24
Germany,DEU,2000,12
Germany,DEU,2005,6
Germany,DEU,2010,6
Germany,DEU,2015,3
Germany,DEU,2019,0
India,IND,1990,7966
India,IND,1995,1359
India,IND,2000,4534
India,IND,2005,2442
India,IND,2010,1640
India,IND,2015,724
India,IND,2019,688
Japan,JPN,1990,6
Japan,JPN,1995,15
Japan,JPN,2000,0
Japan,JPN,2005,0
Japan,JPN,2010,0
Japan,JPN,2015,0
Japan,JPN,2019,0
Russia,RUS,1990,192
Russia,RUS,1995,2055
Russia,RUS,2000,6617
Russia,RUS,2005,1043
Russia,RUS,2010,1139
Russia,RUS,2015,415
Russia,RUS,2019,20
United Kingdom,GBR,1990,126
United Kingdom,GBR,1995,21
United Kingdom,GBR,2000,14
United Kingdom,GBR,2005,81
United Kingdom,GBR,2010,104
United Kingdom,GBR,2015,3
United Kingdom,GBR,2019,2
United States,USA,1990,21
United States,USA,1995,190
United States,USA,2000,41
United States,USA,2005,969
United States,USA,2010,579
United States,USA,2015,74
United States,USA,2019,31
