Entity,Code,Year,Birth rate - Sex: all - Age: all - Variant: estimates,Death rate - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,Continent
Algeria,DZA,2021,21.524,4.546,44177964.0,
Angola,AGO,2021,38.809,8.009,34503776.0,
Armenia,ARM,2021,12.049,13.007,2790971.0,
Australia,AUS,2021,11.542,6.422,25921094.0,
Austria,AUT,2021,9.498,10.064,8922086.0,
Bahrain,BHR,2021,11.926,2.479,1463266.0,
Bangladesh,BGD,2021,17.821,5.68,169356240.0,
Bolivia,BOL,2021,21.836,9.945,12079474.0,
Botswana,BWA,2021,23.576,9.461,2588424.0,
Brazil,BRA,2021,12.883,8.326,214326220.0,
Brunei,BRN,2021,13.8,5.211,445382.0,
Bulgaria,BGR,2021,8.435,22.337,6885864.0,
China,CHN,2021,7.633,7.448,1425893500.0,
Cote d'Ivoire,CIV,2021,33.934,9.001,27478250.0,
Cuba,CUB,2021,8.922,14.652,11256373.0,
Democratic Republic of Congo,COD,2021,42.049,9.7,95894120.0,
Egypt,EGY,2021,22.558,6.327,109262184.0,
Eswatini,SWZ,2021,24.134,11.356,1192273.0,
Ethiopia,ETH,2021,32.383,6.776,120283020.0,
Faroe Islands,FRO,2021,15.383,11.283,52915.0,
Fiji,FJI,2021,19.345,8.859,924615.0,
Georgia,GEO,2021,13.412,15.166,3757984.0,
Germany,DEU,2021,9.167,12.486,83408560.0,
Honduras,HND,2021,21.071,5.608,10278346.0,
India,IND,2021,16.419,9.448,1407563900.0,
Iran,IRN,2021,13.699,6.437,87923430.0,
Iraq,IRQ,2021,27.367,4.753,43533590.0,
Italy,ITA,2021,6.931,11.488,59240336.0,
Japan,JPN,2021,6.571,12.64,124612530.0,
Jersey,JEY,2021,10.401,8.735,109634.0,
Kiribati,KIR,2021,27.207,6.236,128883.0,
Lesotho,LSO,2021,26.107,14.186,2281464.0,
Maldives,MDV,2021,14.088,3.02,521469.0,
Mayotte,MYT,2021,33.71,3.164,316022.0,
Mexico,MEX,2021,14.857,9.406,126705140.0,
Moldova,MDA,2021,12.432,16.36,3061509.0,
Mozambique,MOZ,2021,36.598,8.793,32077074.0,
Namibia,NAM,2021,27.439,10.709,2530150.0,
Niger,NER,2021,45.293,8.141,25252722.0,
Nigeria,NGA,2021,37.117,13.083,213401330.0,
Niue,NIU,2021,13.96,13.853,1957.0,
Pakistan,PAK,2021,27.519,7.168,231402110.0,
Papua New Guinea,PNG,2021,25.514,6.683,9949438.0,
Peru,PER,2021,17.622,7.988,33715464.0,
Philippines,PHL,2021,21.813,7.311,113880340.0,
Russia,RUS,2021,9.643,16.964,145102750.0,
Saudi Arabia,SAU,2021,17.473,2.864,35950396.0,
Serbia,SRB,2021,9.266,18.941,7296771.0,
South Africa,ZAF,2021,19.821,11.432,59392256.0,
South Korea,KOR,2021,5.579,6.46,51830136.0,
South Sudan,SSD,2021,29.107,11.05,10748278.0,
Spain,ESP,2021,7.553,9.59,47486932.0,
Tanzania,TZA,2021,36.21,6.222,63588332.0,
Togo,TGO,2021,31.856,8.168,8644829.0,
Ukraine,UKR,2021,7.721,16.801,43531424.0,
United Arab Emirates,ARE,2021,10.307,1.874,9365149.0,
United States,USA,2021,11.056,9.743,336997630.0,
Vanuatu,VUT,2021,29.438,5.395,319146.0,
Vatican,VAT,2021,4.142,21.948,,
Vietnam,VNM,2021,15.008,7.317,97468024.0,
Yemen,YEM,2021,30.544,6.845,32981644.0,
Zambia,ZMB,2021,34.511,6.973,19473132.0,
Zimbabwe,ZWE,2021,30.537,9.057,15993525.0,
