Entity,Code,Year,Deaths - Road injuries - Sex: Both - Age: All Ages (Number)
Cote d'Ivoire,CIV,1990,1921
Cote d'Ivoire,CIV,1995,2506
Cote d'Ivoire,CIV,2000,2916
Cote d'Ivoire,CIV,2005,3096
Cote d'Ivoire,CIV,2010,3223
Cote d'Ivoire,CIV,2015,3492
Cote d'Ivoire,CIV,2019,3353
Haiti,HTI,1990,1068
Haiti,HTI,1995,1013
Haiti,HTI,2000,970
Haiti,HTI,2005,1072
Haiti,HTI,2010,1140
Haiti,HTI,2015,1315
Haiti,HTI,2019,1366
Pakistan,PAK,1990,7893
Pakistan,PAK,1995,10335
Pakistan,PAK,2000,12677
Pakistan,PAK,2005,14368
Pakistan,PAK,2010,16171
Pakistan,PAK,2015,18341
Pakistan,PAK,2019,19348
Paraguay,PRY,1990,507
Paraguay,PRY,1995,695
Paraguay,PRY,2000,741
Paraguay,PRY,2005,979
Paraguay,PRY,2010,1354
Paraguay,PRY,2015,1405
Paraguay,PRY,2019,1501
Philippines,PHL,1990,8280
Philippines,PHL,1995,7930
Philippines,PHL,2000,8100
Philippines,PHL,2005,8783
Philippines,PHL,2010,9653
Philippines,PHL,2015,10515
Philippines,PHL,2019,10945
Saudi Arabia,SAU,1990,7552
Saudi Arabia,SAU,1995,8683
Saudi Arabia,SAU,2000,9679
Saudi Arabia,SAU,2005,12539
Saudi Arabia,SAU,2010,17029
Saudi Arabia,SAU,2015,19526
Saudi Arabia,SAU,2019,21316
