Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number)
African Region (WHO),,1990,265452
African Region (WHO),,1995,760306
African Region (WHO),,2000,1294485
African Region (WHO),,2005,1470200
African Region (WHO),,2010,1056095
African Region (WHO),,2015,768624
African Region (WHO),,2019,635623
Eastern Mediterranean Region (WHO),,1990,981
Eastern Mediterranean Region (WHO),,1995,3165
Eastern Mediterranean Region (WHO),,2000,7690
Eastern Mediterranean Region (WHO),,2005,11673
Eastern Mediterranean Region (WHO),,2010,13560
Eastern Mediterranean Region (WHO),,2015,15908
Eastern Mediterranean Region (WHO),,2019,16961
European Region (WHO),,1990,15998
European Region (WHO),,1995,33849
European Region (WHO),,2000,24053
European Region (WHO),,2005,28589
European Region (WHO),,2010,30557
European Region (WHO),,2015,34287
European Region (WHO),,2019,31142
Region of the Americas (WHO),,1990,45969
Region of the Americas (WHO),,1995,90184
Region of the Americas (WHO),,2000,66414
Region of the Americas (WHO),,2005,66491
Region of the Americas (WHO),,2010,58775
Region of the Americas (WHO),,2015,55855
Region of the Americas (WHO),,2019,51057
South-East Asia Region (WHO),,1990,2303
South-East Asia Region (WHO),,1995,36824
South-East Asia Region (WHO),,2000,139792
South-East Asia Region (WHO),,2005,214299
South-East Asia Region (WHO),,2010,166299
South-East Asia Region (WHO),,2015,106437
South-East Asia Region (WHO),,2019,76749
Western Pacific Region (WHO),,1990,4379
Western Pacific Region (WHO),,1995,12378
Western Pacific Region (WHO),,2000,26205
Western Pacific Region (WHO),,2005,40190
Western Pacific Region (WHO),,2010,38902
Western Pacific Region (WHO),,2015,48266
Western Pacific Region (WHO),,2019,51226
