Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: 15-49 years (Rate)
Denmark,DNK,1990,27.92
Denmark,DNK,1995,22.5
Denmark,DNK,2000,16.4
Denmark,DNK,2005,13.17
Denmark,DNK,2010,11.4
Denmark,DNK,2015,9.7
Denmark,DNK,2019,9.67
Germany,DEU,1990,16.73
Germany,DEU,1995,16.61
Germany,DEU,2000,14.72
Germany,DEU,2005,12.53
Germany,DEU,2010,11.97
Germany,DEU,2015,11.36
Germany,DEU,2019,11.14
Italy,ITA,1990,7.45
Italy,ITA,1995,7.67
Italy,ITA,2000,7.78
Italy,ITA,2005,6.8
Italy,ITA,2010,6.52
Italy,ITA,2015,6.37
Italy,ITA,2019,6.28
Norway,NOR,1990,21.18
Norway,NOR,1995,17.88
Norway,NOR,2000,16.63
Norway,NOR,2005,14.68
Norway,NOR,2010,14.16
Norway,NOR,2015,12.4
Norway,NOR,2019,12.18
Spain,ESP,1990,8.01
Spain,ESP,1995,7.67
Spain,ESP,2000,7.95
Spain,ESP,2005,7.67
Spain,ESP,2010,7.15
Spain,ESP,2015,7.14
Spain,ESP,2019,7.31
United Kingdom,GBR,1990,13.52
United Kingdom,GBR,1995,13.91
United Kingdom,GBR,2000,13.33
United Kingdom,GBR,2005,11.38
United Kingdom,GBR,2010,11.19
United Kingdom,GBR,2015,10.48
United Kingdom,GBR,2019,10.49
United States,USA,1990,16.21
United States,USA,1995,16.26
United States,USA,2000,15.09
United States,USA,2005,15.27
United States,USA,2010,15.59
United States,USA,2015,16.31
United States,USA,2019,15.01
