Entity,Code,Year,Electricity generation - TWh
Bhutan,BTN,2000,1.79
Bhutan,BTN,2005,2.62
Bhutan,BTN,2010,7.26
Bhutan,BTN,2015,7.73
Bhutan,BTN,2021,9.0
Faroe Islands,FRO,2000,0.21
Faroe Islands,FRO,2005,0.24
Faroe Islands,FRO,2010,0.27
Faroe Islands,FRO,2015,0.31
Faroe Islands,FRO,2021,0.42
Guinea,GIN,2000,0.75
Guinea,GIN,2005,0.88
Guinea,GIN,2010,0.92
Guinea,GIN,2015,1.14
Guinea,GIN,2021,2.78
Laos,LAO,2000,3.63
Laos,LAO,2005,3.51
Laos,LAO,2010,8.36
Laos,LAO,2015,16.03
Laos,LAO,2021,39.97
Togo,TGO,2000,0.17
Togo,TGO,2005,0.18
Togo,TGO,2010,0.17
Togo,TGO,2015,0.37
Togo,TGO,2021,0.63
