Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Percent)
North Korea,PRK,1990,0.02
North Korea,PRK,1995,0.04
North Korea,PRK,2000,0.09
North Korea,PRK,2005,0.18
North Korea,PRK,2010,0.17
North Korea,PRK,2015,0.26
North Korea,PRK,2019,0.32
Northern Mariana Islands,MNP,1990,0.06
Northern Mariana Islands,MNP,1995,0.18
Northern Mariana Islands,MNP,2000,0.33
Northern Mariana Islands,MNP,2005,0.36
Northern Mariana Islands,MNP,2010,0.3
Northern Mariana Islands,MNP,2015,0.23
Northern Mariana Islands,MNP,2019,0.17
Thailand,THA,1990,0.34
Thailand,THA,1995,4.49
Thailand,THA,2000,8.58
Thailand,THA,2005,7.65
Thailand,THA,2010,4.11
Thailand,THA,2015,4.83
Thailand,THA,2019,3.51
Turkey,TUR,1990,0.0
Turkey,TUR,1995,0.01
Turkey,TUR,2000,0.02
Turkey,TUR,2005,0.04
Turkey,TUR,2010,0.03
Turkey,TUR,2015,0.05
Turkey,TUR,2019,0.05
United Kingdom,GBR,1990,0.07
United Kingdom,GBR,1995,0.13
United Kingdom,GBR,2000,0.04
United Kingdom,GBR,2005,0.05
United Kingdom,GBR,2010,0.06
United Kingdom,GBR,2015,0.05
United Kingdom,GBR,2019,0.04
United States Virgin Islands,VIR,1990,1.19
United States Virgin Islands,VIR,1995,1.78
United States Virgin Islands,VIR,2000,1.84
United States Virgin Islands,VIR,2005,1.32
United States Virgin Islands,VIR,2010,0.9
United States Virgin Islands,VIR,2015,0.99
United States Virgin Islands,VIR,2019,0.62
