Entity,Code,Year,Electricity generation - TWh
France,FRA,1985,344.46542
France,FRA,1990,417.2
France,FRA,1995,491.2
France,FRA,2000,533.6
France,FRA,2005,569.86
France,FRA,2010,562.83
France,FRA,2015,573.92
France,FRA,2020,527.25
France,FRA,2022,470.67
India,IND,1985,186.38583
India,IND,1990,287.76282
India,IND,1995,427.14877
India,IND,2000,571.39
India,IND,2005,704.52
India,IND,2010,937.47
India,IND,2015,1322.1
India,IND,2020,1581.94
India,IND,2022,1857.98
Sweden,SWE,1985,137.14
Sweden,SWE,1990,145.98
Sweden,SWE,1995,148.28
Sweden,SWE,2000,145.23
Sweden,SWE,2005,158.36
Sweden,SWE,2010,148.45
Sweden,SWE,2015,162.0
Sweden,SWE,2020,163.78
Sweden,SWE,2022,172.21
United Kingdom,GBR,1985,298.089
United Kingdom,GBR,1990,317.76
United Kingdom,GBR,1995,332.48
United Kingdom,GBR,2000,377.06
United Kingdom,GBR,2005,398.35
United Kingdom,GBR,2010,382.06
United Kingdom,GBR,2015,338.87
United Kingdom,GBR,2020,312.02
United Kingdom,GBR,2022,326.09
United States,USA,1985,2657.1501
United States,USA,1990,3232.7795
United States,USA,1995,3567.3313
United States,USA,2000,3802.1
United States,USA,2005,4034.99
United States,USA,2010,4113.94
United States,USA,2015,4083.99
United States,USA,2020,4043.18
United States,USA,2022,4286.91
