Entity,Code,Year,"4.5.1 - Adjusted gender parity index for completion rate, by location, wealth quintile and education level - SE_AGP_CPRA - Primary - All areas - Total (national average) or no breakdown"
Chad,TCD,2000,0.57
Chad,TCD,2005,0.61
Chad,TCD,2010,0.75
Chad,TCD,2015,0.78
Honduras,HND,2000,1.07
Honduras,HND,2005,1.11
Honduras,HND,2010,1.07
Honduras,HND,2015,1.05
Jamaica,JAM,2000,1.0
Jamaica,JAM,2005,1.01
Jamaica,JAM,2010,1.0
Jamaica,JAM,2015,1.0
Vietnam,VNM,2000,0.98
Vietnam,VNM,2005,1.0
Vietnam,VNM,2010,1.0
Vietnam,VNM,2015,1.01
Vietnam,VNM,2021,1.01
