Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate)
Austria,AUT,1990,36.3
Austria,AUT,1995,35.22
Austria,AUT,2000,31.81
Austria,AUT,2005,28.05
Austria,AUT,2010,26.57
Austria,AUT,2015,22.76
Austria,AUT,2019,21.2
Finland,FIN,1990,30.2
Finland,FIN,1995,30.33
Finland,FIN,2000,26.95
Finland,FIN,2005,24.55
Finland,FIN,2010,22.12
Finland,FIN,2015,18.32
Finland,FIN,2019,17.97
Norway,NOR,1990,29.49
Norway,NOR,1995,29.37
Norway,NOR,2000,29.36
Norway,NOR,2005,26.5
Norway,NOR,2010,24.94
Norway,NOR,2015,21.47
Norway,NOR,2019,20.08
Sweden,SWE,1990,29.03
Sweden,SWE,1995,26.7
Sweden,SWE,2000,24.28
Sweden,SWE,2005,21.55
Sweden,SWE,2010,19.9
Sweden,SWE,2015,18.89
Sweden,SWE,2019,18.04
Switzerland,CHE,1990,30.27
Switzerland,CHE,1995,29.02
Switzerland,CHE,2000,26.0
Switzerland,CHE,2005,25.14
Switzerland,CHE,2010,22.62
Switzerland,CHE,2015,18.69
Switzerland,CHE,2019,18.39
United States,USA,1990,31.59
United States,USA,1995,32.77
United States,USA,2000,31.35
United States,USA,2005,29.69
United States,USA,2010,26.21
United States,USA,2015,23.63
United States,USA,2019,22.83
