Entity,Code,Year,EU Bird Population Index (2000 = 100)
All common species,,1990,101.54
All common species,,1995,101.68
All common species,,2000,100.0
All common species,,2005,96.53
All common species,,2010,94.17
All common species,,2015,91.94
All common species,,2021,89.52
Common farmland species,,1990,115.2
Common farmland species,,1995,106.46
Common farmland species,,2000,100.0
Common farmland species,,2005,93.75
Common farmland species,,2010,87.58
Common farmland species,,2015,81.3
Common farmland species,,2021,73.79
Common forest species,,1990,105.31
Common forest species,,1995,104.31
Common forest species,,2000,100.0
Common forest species,,2005,95.09
Common forest species,,2010,94.68
Common forest species,,2015,96.04
Common forest species,,2021,100.39
