Entity,Code,Year,"Agriculture, forestry, and fishing, value added (% of GDP)"
Algeria,DZA,2000,8.395048
Algeria,DZA,2010,8.466444
Algeria,DZA,2021,13.030902
Belgium,BEL,2000,1.1760052
Belgium,BEL,2010,0.7651042
Belgium,BEL,2021,0.66317403
Eswatini,SWZ,1960,31.530758
Eswatini,SWZ,1970,30.08739
Eswatini,SWZ,1980,19.517164
Eswatini,SWZ,1990,8.871487
Eswatini,SWZ,2000,12.315976
Eswatini,SWZ,2010,10.156213
Eswatini,SWZ,2021,8.138593
Japan,JPN,2000,1.5178803
Japan,JPN,2010,1.1082811
Sierra Leone,SLE,1970,25.993864
Sierra Leone,SLE,1980,30.376461
Sierra Leone,SLE,1990,44.02862
Sierra Leone,SLE,2000,55.014164
Sierra Leone,SLE,2010,52.94268
Sierra Leone,SLE,2021,57.44879
Slovenia,SVN,2000,3.0855632
Slovenia,SVN,2010,1.893864
Slovenia,SVN,2021,1.6894305
Trinidad and Tobago,TTO,1970,6.649632
Trinidad and Tobago,TTO,1980,2.5878658
Trinidad and Tobago,TTO,1990,2.5409722
Trinidad and Tobago,TTO,2000,1.3571938
Trinidad and Tobago,TTO,2010,0.52014613
Trinidad and Tobago,TTO,2021,0.9633794
Uzbekistan,UZB,1990,33.11399
Uzbekistan,UZB,2000,30.055904
Uzbekistan,UZB,2010,26.922028
Uzbekistan,UZB,2021,24.982517
