Entity,Code,Year,military_personnel_share
Iran,IRN,1900,0.2535496957403651
Iran,IRN,1950,0.7004177930695502
Iran,IRN,2000,0.7577324155859502
Iran,IRN,2016,0.6514942013279021
Montenegro,MNE,2016,0.3179650238473768
Namibia,NAM,2000,0.5214368482039398
Namibia,NAM,2016,0.3629032258064516
Nicaragua,NIC,1900,0.4750593824228028
Nicaragua,NIC,1950,0.2851711026615969
Nicaragua,NIC,2000,0.3153330705557745
Nicaragua,NIC,2016,0.1951219512195122
Sudan,SDN,2000,0.3526619192946761
Sudan,SDN,2016,0.6164885419035347
Sweden,SWE,1819,1.5380233551694673
Sweden,SWE,1850,0.7004532344458179
Sweden,SWE,1900,1.0195758564437194
Sweden,SWE,2000,0.5948372615039281
Sweden,SWE,2016,0.3049400284610693
Tajikistan,TJK,2000,0.096961861667744
Tajikistan,TJK,2016,0.1030337721808815
