Entity,Code,Year,Armed forces personnel (% of total labor force)
Cuba,CUB,1990,6.7811456
Cuba,CUB,1995,2.810146
Cuba,CUB,2000,1.8375741
Cuba,CUB,2005,1.566737
Cuba,CUB,2010,1.478018
Cuba,CUB,2015,1.4275981
Cuba,CUB,2019,1.4226527
Dominican Republic,DOM,1990,0.8463023
Dominican Republic,DOM,1995,1.3873099
Dominican Republic,DOM,2000,1.2167226
Dominican Republic,DOM,2005,1.1493081
Dominican Republic,DOM,2010,1.0274498
Dominican Republic,DOM,2015,1.5515323
Dominican Republic,DOM,2019,1.3880949
Egypt,EGY,1990,2.7622619
Egypt,EGY,1995,3.2845814
Egypt,EGY,2000,3.2663124
Egypt,EGY,2005,3.349558
Egypt,EGY,2010,2.9071074
Egypt,EGY,2015,2.735694
Egypt,EGY,2019,2.8133028
Eritrea,ERI,1995,5.602943
Eritrea,ERI,2000,18.84357
Eritrea,ERI,2005,15.74565
Eritrea,ERI,2010,14.057676
Eritrea,ERI,2015,13.063656
Eritrea,ERI,2019,12.255155
Honduras,HND,1990,1.0047884
Honduras,HND,1995,1.1454786
Honduras,HND,2000,0.58327353
Honduras,HND,2005,0.72237396
Honduras,HND,2010,0.61345047
Honduras,HND,2015,0.47708634
Honduras,HND,2019,0.5345117
Nepal,NPL,1990,0.35584334
Nepal,NPL,1995,0.55991817
Nepal,NPL,2000,0.7214499
Nepal,NPL,2005,0.96966237
Nepal,NPL,2010,1.0937037
Nepal,NPL,2015,1.0356076
Nepal,NPL,2019,0.6735023
United Kingdom,GBR,1990,1.0541836
United Kingdom,GBR,1995,0.8096148
United Kingdom,GBR,2000,0.7200508
United Kingdom,GBR,2005,0.7042435
United Kingdom,GBR,2010,0.5398281
United Kingdom,GBR,2015,0.45316017
United Kingdom,GBR,2019,0.4293772
Venezuela,VEN,1990,0.95898426
Venezuela,VEN,1995,0.8773501
Venezuela,VEN,2000,0.7665672
Venezuela,VEN,2005,0.7011121
Venezuela,VEN,2010,0.89624584
Venezuela,VEN,2015,1.9485918
Venezuela,VEN,2019,3.143345
