Entity,Code,Year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
Bolivia,BOL,2011,28.03
Bolivia,BOL,2014,41.8
Bolivia,BOL,2021,68.89
Brazil,BRA,2011,55.86
Brazil,BRA,2014,68.12
Brazil,BRA,2021,84.04
Burundi,BDI,2011,7.24
Burundi,BDI,2014,7.11
China,CHN,2011,63.82
China,CHN,2014,78.93
China,CHN,2021,88.71
Colombia,COL,2011,30.43
Colombia,COL,2014,39.0
Colombia,COL,2021,59.72
Democratic Republic of Congo,COD,2011,3.7
Democratic Republic of Congo,COD,2014,17.48
Japan,JPN,2011,96.42
Japan,JPN,2014,96.65
Japan,JPN,2021,98.49
United States,USA,2011,87.96
United States,USA,2014,93.58
United States,USA,2021,94.95
