Entity,Code,Year,GDP per capita,417485-annotations,electdem_vdem_owid,Population (historical estimates),Continent
Afghanistan,AFG,2018,1934.555,,0.354,36686788.0,
Africa,,2018,,,0.43108928,1295265310.0,
Algeria,DZA,2018,14228.025,,0.306,41927008.0,
Angola,AGO,2018,7771.442,,0.366,31273538.0,
Argentina,ARG,2018,18556.383,,0.767,44413592.0,
Asia,,2018,,,0.35567346,4588802751.0,
Bahrain,BHR,2018,39498.766,,0.117,1487346.0,
Bangladesh,BGD,2018,4099.253,,0.26,163683952.0,
Brazil,BRA,2018,14033.565,,0.742,210166592.0,
Burkina Faso,BFA,2018,1589.6241,,0.676,20392730.0,
Burundi,BDI,2018,651.3589,,0.158,11493476.0,
Cameroon,CMR,2018,2888.046,,0.292,25076752.0,
Central African Republic,CAF,2018,623.4889,,0.409,5094795.0,
Chile,CHL,2018,22104.766,,0.87,18701452.0,
China,CHN,2018,13101.706,,0.077,1417069440.0,
Congo,COG,2018,5714.592,,0.247,5441061.0,
Costa Rica,CRI,2018,14686.254,,0.894,5040738.0,
Cote d'Ivoire,CIV,2018,3713.6436,,0.556,25493990.0,
Democratic Republic of Congo,COD,2018,859.3817,,0.317,87087352.0,
Dominican Republic,DOM,2018,15912.399,,0.549,10765532.0,
Egypt,EGY,2018,11957.212,,0.176,103740768.0,
Ethiopia,ETH,2018,1838.4904,,0.273,111129440.0,
Europe,,2018,,,0.73639023,746577709.0,
Gabon,GAB,2018,17613.557,,0.389,2192013.0,
Gambia,GMB,2018,1882.2399,,0.546,2444916.0,
Georgia,GEO,2018,11984.905,,0.68,3772323.0,
Ghana,GHA,2018,4267.067,,0.739,30870648.0,
Guatemala,GTM,2018,7402.1147,,0.589,16850176.0,
Hong Kong,HKG,2018,50839.37,,0.316,7481563.0,
India,IND,2018,6806.4985,,0.488,1369003264.0,
Indonesia,IDN,2018,11851.737,,0.609,267066848.0,
Iran,IRN,2018,17011.305,,0.207,85617560.0,
Iraq,IRQ,2018,12835.8125,,0.399,40590700.0,
Jamaica,JAM,2018,7272.9805,,0.812,2811842.0,
Japan,JPN,2018,38673.81,,0.849,126255872.0,
Kenya,KEN,2018,3377.4705,,0.464,49953300.0,
Kuwait,KWT,2018,65520.74,,0.327,4317190.0,
Kyrgyzstan,KGZ,2018,5176.9883,,0.467,6223503.0,
Latvia,LVA,2018,24312.678,,0.825,1935632.0,
Lebanon,LBN,2018,12558.967,,0.447,5950842.0,
Liberia,LBR,2018,818.4211,,0.629,4889396.0,
Madagascar,MDG,2018,1427.6003,,0.494,26846544.0,
Malaysia,MYS,2018,24842.355,,0.439,32399270.0,
Malta,MLT,2018,32028.912,,0.764,491590.0,
Mexico,MEX,2018,16494.078,,0.671,124013864.0,
Montenegro,MNE,2018,19504.158,,0.462,631459.0,
Morocco,MAR,2018,8451.136,,0.264,35927516.0,
Mozambique,MOZ,2018,1132.7709,,0.397,29423882.0,
Namibia,NAM,2018,9043.12,,0.694,2405682.0,
Nepal,NPL,2018,2727.4238,,0.627,28506718.0,
Niger,NER,2018,964.6601,,0.536,22577060.0,
Nigeria,NGA,2018,5237.662,,0.563,198387616.0,
North America,,2018,,,0.6168,585864285.0,
North Korea,PRK,2018,1596.3517,,0.087,25638152.0,
Norway,NOR,2018,84580.13,,0.886,5312321.0,
Oceania,,2018,,,0.6635,42540030.0,
Oman,OMN,2018,36477.637,,0.176,4601160.0,
Pakistan,PAK,2018,5510.3965,,0.402,219731488.0,
Paraguay,PRY,2018,9338.948,,0.585,6443337.0,
Peru,PER,2018,12310.085,,0.801,32203946.0,
Poland,POL,2018,27455.236,,0.688,38521464.0,
Qatar,QAT,2018,153764.17,,0.043,2766743.0,
Russia,RUS,2018,24668.908,,0.268,145652288.0,
Saudi Arabia,SAU,2018,50304.75,,0.016,35018132.0,
Senegal,SEN,2018,2617.1245,,0.702,15574910.0,
Seychelles,SYC,2018,29531.06,,0.607,103120.0,
Singapore,SGP,2018,68402.34,,0.408,5814543.0,
South America,,2018,,,0.6865,424740741.0,
Spain,ESP,2018,31496.52,,0.852,46792044.0,
Syria,SYR,2018,3349.4597,,0.138,19333464.0,
Tajikistan,TJK,2018,4440.382,,0.166,9128131.0,
Tanzania,TZA,2018,2874.963,,0.397,58090444.0,
Tunisia,TUN,2018,11353.887,,0.733,11933040.0,
Turkey,TUR,2018,19270.22,,0.292,82809304.0,
Turkmenistan,TKM,2018,26318.365,,0.15,6065072.0,
Ukraine,UKR,2018,9813.363,,0.408,44446952.0,
United Arab Emirates,ARE,2018,76397.82,,0.093,9140172.0,
United States,USA,2018,55334.74,,0.813,332140032.0,
Venezuela,VEN,2018,10709.95,,0.216,29825652.0,
Vietnam,VNM,2018,6814.142,,0.151,94914328.0,
Yemen,YEM,2018,2284.89,,0.112,30790514.0,
