Entity,Code,Year,9.3.1 - Proportion of small-scale manufacturing industries in total manufacturing value added (%) - NV_IND_SSIS - Manufacturing
Australia,AUS,2008,20.81
Australia,AUS,2010,20.73
Australia,AUS,2012,20.19
Australia,AUS,2014,21.56
Bangladesh,BGD,2012,3.99
Cape Verde,CPV,2020,10.15
Croatia,HRV,2010,15.32
Croatia,HRV,2012,13.87
Croatia,HRV,2014,15.44
Croatia,HRV,2016,13.93
Croatia,HRV,2018,14.52
Croatia,HRV,2020,14.66
Georgia,GEO,2016,17.45
Georgia,GEO,2018,13.94
Georgia,GEO,2020,14.4
Latvia,LVA,2005,10.19
Latvia,LVA,2006,11.43
Latvia,LVA,2008,12.4
Latvia,LVA,2010,11.82
Latvia,LVA,2012,10.78
Latvia,LVA,2014,10.79
Latvia,LVA,2016,11.46
Latvia,LVA,2018,11.86
Latvia,LVA,2020,11.64
Slovakia,SVK,2005,6.96
Slovakia,SVK,2006,7.93
Slovakia,SVK,2008,9.64
Slovakia,SVK,2010,15.73
Slovakia,SVK,2012,15.15
Slovakia,SVK,2014,12.43
Slovakia,SVK,2016,9.39
Slovakia,SVK,2018,10.4
Slovakia,SVK,2020,10.93
Ukraine,UKR,2018,6.71
Ukraine,UKR,2020,7.32
