Entity,Code,Year,Population (historical estimates),Continent,Labour cost ratio (45-54 year-old population) 2009 (OECD (2012)),Year.1,Proportion of 45-54 year-olds with tertiary education 2009 (OECD (2012)),Year.2
Asia,,2009,4171339685.0,,,,,
Australia,AUS,2009,21660898.0,,1.643135916,2009.0,33.5662884,2009.0
Austria,AUT,2009,8342939.0,,2.223160883,2009.0,18.2958162,2009.0
Belgium,BEL,2009,10801357.0,,1.630617128,2009.0,30.32258183,2009.0
Canada,CAN,2009,33593920.0,,1.82928185,2009.0,45.11966217,2009.0
Czechia,CZE,2009,10421515.0,,3.466004723,2009.0,15.62352425,2009.0
Denmark,DNK,2009,5526455.0,,1.437133799,2009.0,28.34042484,2009.0
Europe,,2009,736013515.0,,,,,
Finland,FIN,2009,5338813.0,,1.414304208,2009.0,37.49323876,2009.0
France,FRA,2009,62093300.0,,2.019812289,2009.0,22.1574704,2009.0
Germany,DEU,2009,81260624.0,,1.763824864,2009.0,26.41428025,2009.0
Greece,GRC,2009,11055503.0,,1.814335839,2009.0,21.63515272,2009.0
Hungary,HUN,2009,10008581.0,,2.993639723,2009.0,18.28577894,2009.0
Iceland,ISL,2009,318809.0,,1.779163202,2009.0,31.69592208,2009.0
Ireland,IRL,2009,4499797.0,,2.091461575,2009.0,28.19137054,2009.0
Israel,ISR,2009,7199704.0,,2.086975425,2009.0,44.90754956,2009.0
Italy,ITA,2009,59562844.0,,2.403320855,2009.0,11.8174482,2009.0
Luxembourg,LUX,2009,497876.0,,2.556748583,2009.0,29.22448706,2009.0
Netherlands,NLD,2009,16536200.0,,1.922679229,2009.0,30.78293582,2009.0
North America,,2009,537567761.0,,,,,
Norway,NOR,2009,4829195.0,,1.525148564,2009.0,32.77707809,2009.0
Oceania,,2009,36448615.0,,,,,
Poland,POL,2009,38555288.0,,3.223617145,2009.0,13.10471414,2009.0
Portugal,PRT,2009,10591341.0,,3.689678336,2009.0,10.98342961,2009.0
Slovakia,SVK,2009,5388934.0,,2.62080125,2009.0,14.1376668,2009.0
South Korea,KOR,2009,48588024.0,,2.618799146,2009.0,25.75219683,2009.0
United Kingdom,GBR,2009,62243384.0,,2.215318119,2009.0,34.0,2009.0
United States,USA,2009,308512032.0,,2.77125173,2009.0,39.89918919,2009.0
