Entity,Code,Year,Nuclear electricity per capita - kWh
Aruba,ABW,2000,0.0
Aruba,ABW,2010,0.0
Bolivia,BOL,1970,0.0
Bolivia,BOL,1980,0.0
Bolivia,BOL,1990,0.0
Bolivia,BOL,2000,0.0
Bolivia,BOL,2010,0.0
Bolivia,BOL,2022,0.0
Cuba,CUB,2000,0.0
Cuba,CUB,2010,0.0
Cuba,CUB,2022,0.0
Portugal,PRT,1965,0.0
Portugal,PRT,1970,0.0
Portugal,PRT,1980,0.0
Portugal,PRT,1990,0.0
Portugal,PRT,2000,0.0
Portugal,PRT,2010,0.0
Portugal,PRT,2022,0.0
Seychelles,SYC,2000,0.0
Seychelles,SYC,2010,0.0
Slovakia,SVK,1965,0.0
Slovakia,SVK,1970,0.0
Slovakia,SVK,1980,909.3493
Slovakia,SVK,1990,2288.4033
Slovakia,SVK,2000,3066.9368
Slovakia,SVK,2010,2699.934
Slovakia,SVK,2022,2819.1948
