Entity,Code,Year,Terrorism deaths Unknown,Terrorism deaths Unarmed Assault,Terrorism deaths Facility/Infrastructure Attack,Terrorism deaths Assassination,Terrorism deaths Hijacking,Terrorism deaths Hostage Taking (Barricade Incident),Terrorism deaths Hostage Taking (Kidnapping),Terrorism deaths Armed Assault,Terrorism deaths Bombing/Explosion
World,OWID_WRL,1970,4,0,9,16,1,0,9,36,96
World,OWID_WRL,1972,1,0,1,208,5,0,12,57,200
World,OWID_WRL,1974,7,1,0,161,1,35,14,34,286
World,OWID_WRL,1976,2,0,6,229,27,16,7,154,147
World,OWID_WRL,1978,47,7,432,193,0,45,20,247,225
World,OWID_WRL,1980,29,0,5,336,0,1,19,234,736
World,OWID_WRL,1982,127,2,22,318,2,9,22,498,712
World,OWID_WRL,1984,1143,0,60,556,28,204,19,2169,1152
World,OWID_WRL,1986,879,3,312,438,99,2,138,1305,1041
World,OWID_WRL,1988,94,1,27,1216,12,1,55,3439,1583
World,OWID_WRL,1990,55,22,10,1076,10,0,373,4031,979
World,OWID_WRL,1992,190,2,114,1458,3,3,43,6068,1639
World,OWID_WRL,1994,731,51,32,939,16,59,105,4238,1187
World,OWID_WRL,1996,1670,10,16,727,5,147,92,2340,1628
World,OWID_WRL,1998,528,101,39,40,1,0,338,2016,1611
World,OWID_WRL,2000,354,203,152,206,0,0,215,1999,1230
World,OWID_WRL,2002,249,10,1,110,6,170,102,2267,1681
World,OWID_WRL,2004,195,0,28,165,46,370,59,1709,3073
World,OWID_WRL,2006,156,2,66,238,2,5,251,2740,5828
World,OWID_WRL,2008,231,13,37,365,23,109,237,2879,5328
World,OWID_WRL,2010,406,7,34,484,1,149,274,2080,4394
World,OWID_WRL,2012,727,9,88,553,0,75,647,5217,8163
World,OWID_WRL,2014,3420,30,376,994,22,440,7928,15754,15612
World,OWID_WRL,2016,4423,23,191,938,27,381,4632,8346,16148
World,OWID_WRL,2018,4335,17,364,858,5,185,2522,8065,6887
World,OWID_WRL,2021,2227,19,112,589,34,52,1393,4579,2521
