Entity,Code,Year,humanity_is_doomed,family_security_threatened,less_opportunity_than_parents,hesitant_to_have_children,future_is_frightening,failed_care_planet
All countries,,2021,56,52,55,39,75,83
Australia,AUS,2021,50,48,57,43,76,81
Brazil,BRA,2021,67,65,50,48,86,92
Finland,FIN,2021,43,30,42,42,56,75
France,FRA,2021,48,50,61,37,74,77
India,IND,2021,74,65,67,41,80,86
Nigeria,NGA,2021,42,55,49,23,70,76
Philippines,PHL,2021,73,77,70,47,92,93
Portugal,PRT,2021,62,52,54,37,81,89
United Kingdom,GBR,2021,51,39,53,38,72,80
United States,USA,2021,46,35,44,36,68,78
