Entity,Code,Year,Autopsy rate (%) for all deaths
Armenia,ARM,1980,27.9
Armenia,ARM,1985,33.41
Armenia,ARM,1990,34.3
Armenia,ARM,1995,27.4
Armenia,ARM,2000,22.63
Armenia,ARM,2005,33.65
Armenia,ARM,2010,59.57
Armenia,ARM,2015,74.09
Armenia,ARM,2020,83.9
Croatia,HRV,1995,9.59
Croatia,HRV,2000,8.79
Croatia,HRV,2005,8.57
Croatia,HRV,2010,9.09
Croatia,HRV,2015,6.12
Denmark,DNK,1985,52.1
Denmark,DNK,1990,33.9
Denmark,DNK,1995,21.5
Denmark,DNK,2005,7.76
Denmark,DNK,2010,4.46
Denmark,DNK,2015,3.38
Denmark,DNK,2020,2.56
Hungary,HUN,1990,51.0
Hungary,HUN,1995,42.0
Hungary,HUN,2000,29.0
Hungary,HUN,2005,35.0
Hungary,HUN,2010,37.13
Hungary,HUN,2015,36.69
Hungary,HUN,2020,21.99
Russia,RUS,1985,35.6
Russia,RUS,1990,33.5
Russia,RUS,1995,35.9
Russia,RUS,2000,36.5
Russia,RUS,2010,44.1
Russia,RUS,2015,57.9
Russia,RUS,2020,70.2
United Kingdom,GBR,1980,27.02
United Kingdom,GBR,1985,26.32
United Kingdom,GBR,2005,22.1
United Kingdom,GBR,2010,20.6
United Kingdom,GBR,2015,17.2
United Kingdom,GBR,2020,15.6
