Entity,Code,Year,regime_eiu
Argentina,ARG,2006,2
Argentina,ARG,2008,2
Argentina,ARG,2010,2
Argentina,ARG,2012,2
Argentina,ARG,2014,2
Argentina,ARG,2016,2
Argentina,ARG,2018,2
Argentina,ARG,2020,2
Argentina,ARG,2022,2
Australia,AUS,2006,3
Australia,AUS,2008,3
Australia,AUS,2010,3
Australia,AUS,2012,3
Australia,AUS,2014,3
Australia,AUS,2016,3
Australia,AUS,2018,3
Australia,AUS,2020,3
Australia,AUS,2022,3
Botswana,BWA,2006,2
Botswana,BWA,2008,2
Botswana,BWA,2010,2
Botswana,BWA,2012,2
Botswana,BWA,2014,2
Botswana,BWA,2016,2
Botswana,BWA,2018,2
Botswana,BWA,2020,2
Botswana,BWA,2022,2
China,CHN,2006,0
China,CHN,2008,0
China,CHN,2010,0
China,CHN,2012,0
China,CHN,2014,0
China,CHN,2016,0
China,CHN,2018,0
China,CHN,2020,0
China,CHN,2022,0
