Entity,Code,Year,"Unemployment, female (% of female labor force) (modeled ILO estimate)"
France,FRA,1991,11.63
France,FRA,1995,14.074
France,FRA,2000,12.201
France,FRA,2005,9.265
France,FRA,2010,9.069
France,FRA,2015,9.904
France,FRA,2021,8.012
Germany,DEU,1991,6.54
Germany,DEU,1995,9.631
Germany,DEU,2000,8.273
Germany,DEU,2005,10.895
Germany,DEU,2010,6.499
Germany,DEU,2015,4.219
Germany,DEU,2021,3.164
South Africa,ZAF,1991,35.665
South Africa,ZAF,1995,35.753
South Africa,ZAF,2000,35.949
South Africa,ZAF,2005,36.439
South Africa,ZAF,2010,27.02
South Africa,ZAF,2015,27.548
South Africa,ZAF,2021,35.68
South Korea,KOR,1991,1.985
South Korea,KOR,1995,1.68
South Korea,KOR,2000,3.228
South Korea,KOR,2005,3.091
South Korea,KOR,2010,2.831
South Korea,KOR,2015,3.486
South Korea,KOR,2021,3.553
Uganda,UGA,1991,0.573
Uganda,UGA,1995,1.721
Uganda,UGA,2000,3.679
Uganda,UGA,2005,2.11
Uganda,UGA,2010,4.262
Uganda,UGA,2015,2.453
Uganda,UGA,2021,3.695
United States,USA,1991,6.36
United States,USA,1995,5.672
United States,USA,2000,4.098
United States,USA,2005,5.096
United States,USA,2010,8.61
United States,USA,2015,5.178
United States,USA,2021,5.253
