Entity,Code,Year,"Number of new cases of tetanus, in both sexes aged all ages"
East Asia & Pacific (WB),,1990,155647.55
East Asia & Pacific (WB),,1995,91905.22
East Asia & Pacific (WB),,2000,59127.72
East Asia & Pacific (WB),,2005,40224.4
East Asia & Pacific (WB),,2010,26337.193
East Asia & Pacific (WB),,2015,21127.277
East Asia & Pacific (WB),,2019,14928.556
Europe & Central Asia (WB),,1990,2654.2654
Europe & Central Asia (WB),,1995,2178.1594
Europe & Central Asia (WB),,2000,1313.3568
Europe & Central Asia (WB),,2005,510.62473
Europe & Central Asia (WB),,2010,388.56024
Europe & Central Asia (WB),,2015,361.9074
Europe & Central Asia (WB),,2019,302.02435
Latin America & Caribbean (WB),,1990,5867.4736
Latin America & Caribbean (WB),,1995,3411.8872
Latin America & Caribbean (WB),,2000,2025.3291
Latin America & Caribbean (WB),,2005,1436.4844
Latin America & Caribbean (WB),,2010,1051.4053
Latin America & Caribbean (WB),,2015,846.3055
Latin America & Caribbean (WB),,2019,751.3174
Middle East & North Africa (WB),,1990,5539.237
Middle East & North Africa (WB),,1995,3690.6987
Middle East & North Africa (WB),,2000,2291.8015
Middle East & North Africa (WB),,2005,1621.47
Middle East & North Africa (WB),,2010,1156.4307
Middle East & North Africa (WB),,2015,888.5668
Middle East & North Africa (WB),,2019,698.30896
North America (WB),,1990,92.13765
North America (WB),,1995,50.824238
North America (WB),,2000,44.020985
North America (WB),,2005,33.330685
North America (WB),,2010,34.99907
North America (WB),,2015,34.238922
North America (WB),,2019,35.290527
South Asia (WB),,1990,377060.12
South Asia (WB),,1995,258010.55
South Asia (WB),,2000,195448.77
South Asia (WB),,2005,123391.0
South Asia (WB),,2010,66729.75
South Asia (WB),,2015,40956.605
South Asia (WB),,2019,29666.523
Sub-Saharan Africa (WB),,1990,68662.734
Sub-Saharan Africa (WB),,1995,66720.32
Sub-Saharan Africa (WB),,2000,66568.97
Sub-Saharan Africa (WB),,2005,49573.26
Sub-Saharan Africa (WB),,2010,38352.34
Sub-Saharan Africa (WB),,2015,34391.88
Sub-Saharan Africa (WB),,2019,27236.404
