Entity,Code,Year,Per capita aviation CO2 - adjusted
Argentina,ARG,2018,130.52042965751306
Belarus,BLR,2018,1.9667417684164985
Cambodia,KHM,2018,13.49799627822386
Canada,CAN,2018,531.0497413549689
Chile,CHL,2018,135.75555011597118
Costa Rica,CRI,2018,47.98344825848902
Fiji,FJI,2018,129.5764451224627
Greece,GRC,2018,116.69846250196588
Indonesia,IDN,2018,44.87371344223645
Japan,JPN,2018,140.9134295183313
Malaysia,MYS,2018,391.0785622811727
Morocco,MAR,2018,10.489576227223754
Netherlands,NLD,2018,578.0391962028934
Portugal,PRT,2018,102.47781053838708
Singapore,SGP,2018,1173.3871056998396
United Arab Emirates,ARE,2018,1949.606596675109
