Entity,Code,Year,Per capita CO₂ emissions from domestic aviation
Bolivia,BOL,2015,25.549227
Bolivia,BOL,2016,31.625547
Bolivia,BOL,2017,30.29278
Bolivia,BOL,2018,28.12882
Bolivia,BOL,2019,8.706821
Bolivia,BOL,2020,5.950862
Bolivia,BOL,2021,10.143571
Chile,CHL,2015,58.4258
Chile,CHL,2016,61.6874
Chile,CHL,2017,65.93262
Chile,CHL,2018,74.76648
Chile,CHL,2019,58.276794
Chile,CHL,2020,34.394928
Chile,CHL,2021,49.87569
Ghana,GHA,2015,1.6588359
Ghana,GHA,2016,1.1667362
Ghana,GHA,2017,1.2175664
Ghana,GHA,2018,0.6766132
Ghana,GHA,2019,0.0014311046
Ghana,GHA,2020,0.01800105
Ghana,GHA,2021,0.1531223
Jordan,JOR,2015,0.5712566
Jordan,JOR,2016,0.6823477
Jordan,JOR,2017,0.51923615
Jordan,JOR,2018,0.5561886
Jordan,JOR,2019,0.6020891
Jordan,JOR,2020,0.38923854
Jordan,JOR,2021,0.39157045
Sweden,SWE,2015,59.51103
Sweden,SWE,2016,62.040195
Sweden,SWE,2017,62.57563
Sweden,SWE,2018,60.47485
Sweden,SWE,2019,57.946682
Sweden,SWE,2020,23.580456
Sweden,SWE,2021,33.269592
