Entity,Code,Year,number_employed_agri
Belgium,BEL,1900,616000.0
Belgium,BEL,2000,84253.51744431093
Belgium,BEL,2019,47262.00167331958
France,FRA,2000,1132716.8387371833
France,FRA,2019,768762.2238881009
Japan,JPN,1900,17331000.0
Japan,JPN,1950,17158000.0
Japan,JPN,2000,3443586.7184105604
Japan,JPN,2019,2326756.79127641
South Korea,KOR,2000,2418886.802714807
South Korea,KOR,2019,1467041.4913541705
Spain,ESP,1900,5139000.0
Spain,ESP,1950,5271000.0
Spain,ESP,2000,1222736.0603179303
Spain,ESP,2019,936075.6736781342
Sweden,SWE,1850,949014.5182
Sweden,SWE,1900,1089129.469
Sweden,SWE,1950,644945.6123
Sweden,SWE,2000,131361.1868821518
Sweden,SWE,2019,92196.3645095814
United Kingdom,GBR,1801,1426000.0
United Kingdom,GBR,1950,1352454.579
United Kingdom,GBR,2000,451173.24986715335
United Kingdom,GBR,2019,363712.3603731485
United States,USA,1850,4520000.0
United States,USA,1900,11680000.0
United States,USA,1950,6402000.0
United States,USA,2000,2391836.1082630795
United States,USA,2019,2275675.3346260693
