Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: Age-standardized (Rate)
Benin,BEN,1990,4324.65
Benin,BEN,1995,4382.86
Benin,BEN,2000,4342.63
Benin,BEN,2005,4053.71
Benin,BEN,2010,3958.64
Benin,BEN,2015,3793.43
Benin,BEN,2019,3516.33
Burundi,BDI,1990,5081.1
Burundi,BDI,1995,19406.04
Burundi,BDI,2000,20039.96
Burundi,BDI,2005,17231.89
Burundi,BDI,2010,6005.18
Burundi,BDI,2015,5776.75
Burundi,BDI,2019,4973.47
Colombia,COL,1990,8023.28
Colombia,COL,1995,7935.73
Colombia,COL,2000,7996.53
Colombia,COL,2005,5857.07
Colombia,COL,2010,5189.02
Colombia,COL,2015,4222.59
Colombia,COL,2019,4116.56
Syria,SYR,1990,2730.26
Syria,SYR,1995,2443.19
Syria,SYR,2000,2173.86
Syria,SYR,2005,1835.54
Syria,SYR,2010,1816.14
Syria,SYR,2015,22662.92
Syria,SYR,2019,4665.31
Tonga,TON,1990,2720.9
Tonga,TON,1995,2503.46
Tonga,TON,2000,2465.23
Tonga,TON,2005,2279.25
Tonga,TON,2010,2254.22
Tonga,TON,2015,2164.54
Tonga,TON,2019,2139.37
Yemen,YEM,1990,6596.82
Yemen,YEM,1995,6044.5
Yemen,YEM,2000,5557.16
Yemen,YEM,2005,5217.69
Yemen,YEM,2010,4869.99
Yemen,YEM,2015,6155.41
Yemen,YEM,2019,7184.95
