Entity,Code,Year,"Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in males aged all ages","Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in females aged all ages",Population,Continent
Africa,,2021,,,1393676724.0,
Antigua and Barbuda,ATG,2021,,,93229.0,
Armenia,ARM,2021,449.69064,284.05283,2790971.0,
Asia,,2021,,,4693332132.0,
Belarus,BLR,2021,,,9578172.0,
Bosnia and Herzegovina,BIH,2021,,,3270948.0,
Brunei,BRN,2021,,,445382.0,
Bulgaria,BGR,2021,,,6885864.0,
Cuba,CUB,2021,,,11256373.0,
Egypt,EGY,2021,,,109262184.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,,,83408560.0,
Guyana,GUY,2021,,,804571.0,
Iran,IRN,2021,,,87923432.0,
Iraq,IRQ,2021,,,43533592.0,
Japan,JPN,2021,,,124612528.0,
Kazakhstan,KAZ,2021,318.6044,166.10219,19196468.0,
Mayotte,MYT,2021,,,316022.0,
Mexico,MEX,2021,,,126705136.0,
Moldova,MDA,2021,,,3061509.0,
Mongolia,MNG,2021,415.0768,217.90843,3347782.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Philippines,PHL,2021,,,113880336.0,
Qatar,QAT,2021,95.683426,74.0721,2688239.0,
Romania,ROU,2021,,,19328558.0,
Russia,RUS,2021,,,145102752.0,
Saint Lucia,LCA,2021,,,179663.0,
Serbia,SRB,2021,338.8948,255.12962,7296771.0,
Seychelles,SYC,2021,282.18503,220.85292,106486.0,
South Africa,ZAF,2021,,,59392256.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,,,51830136.0,
Tajikistan,TJK,2021,,,9750078.0,
Turkey,TUR,2021,,,84775408.0,
Ukraine,UKR,2021,,,43531424.0,
United Arab Emirates,ARE,2021,,,9365149.0,
United Kingdom,GBR,2021,,,67281040.0,
United States,USA,2021,,,336997632.0,
Uzbekistan,UZB,2021,,,34081452.0,
Venezuela,VEN,2021,,,28199862.0,
