Entity,Code,Year,"Annual freshwater withdrawals, total (billion cubic meters)"
Brazil,BRA,1990,41650000000.0
Brazil,BRA,2000,56110000000.0
Brazil,BRA,2010,74770750000.0
Brazil,BRA,2019,70430000000.0
China,CHN,1980,443700000000.0
China,CHN,1990,500000000000.0
China,CHN,2000,550900000000.0
China,CHN,2010,586830000000.0
China,CHN,2019,591800000000.0
India,IND,1975,380000000000.0
India,IND,1980,438350000000.0
India,IND,1990,500000000000.0
India,IND,2000,610399500000.0
India,IND,2010,647500000000.0
India,IND,2019,647500000000.0
United States,USA,1980,517600000000.0
United States,USA,1990,465100000000.0
United States,USA,2000,473500000000.0
United States,USA,2010,418700000000.0
United States,USA,2019,444396120000.0
