Entity,Code,Year,phys_integr_libs_vdem_owid,phys_integr_libs_vdem_high_owid,phys_integr_libs_vdem_low_owid
Argentina,ARG,1789,0.337,0.473,0.239
Argentina,ARG,1850,0.421,0.529,0.333
Argentina,ARG,1900,0.525,0.607,0.437
Argentina,ARG,1950,0.58,0.677,0.487
Argentina,ARG,2000,0.92,0.945,0.882
Argentina,ARG,2022,0.815,0.862,0.759
Australia,AUS,1789,0.877,0.935,0.795
Australia,AUS,1850,0.946,0.967,0.905
Australia,AUS,1900,0.946,0.967,0.905
Australia,AUS,1950,0.98,0.99,0.957
Australia,AUS,2000,0.98,0.99,0.957
Australia,AUS,2022,0.957,0.976,0.925
Botswana,BWA,1900,0.543,0.624,0.452
Botswana,BWA,1950,0.584,0.682,0.513
Botswana,BWA,2000,0.9,0.927,0.851
Botswana,BWA,2022,0.843,0.889,0.755
China,CHN,1789,0.029,0.056,0.015
China,CHN,1850,0.029,0.056,0.015
China,CHN,1900,0.029,0.056,0.015
China,CHN,1950,0.147,0.203,0.102
China,CHN,2000,0.424,0.496,0.365
China,CHN,2022,0.348,0.416,0.293
World,OWID_WRL,1789,0.40262195,0.504061,0.31385365
World,OWID_WRL,1850,0.4881892,0.5770541,0.40248647
World,OWID_WRL,1900,0.4662177,0.5312721,0.4015102
World,OWID_WRL,1950,0.44473296,0.5091477,0.3831534
World,OWID_WRL,2000,0.6595281,0.71092695,0.60398877
World,OWID_WRL,2022,0.68002796,0.73197204,0.6208436
