Entity,Code,Year,civlib_eiu
Egypt,EGY,2006,3.53
Egypt,EGY,2008,4.12
Egypt,EGY,2010,3.53
Egypt,EGY,2012,4.12
Egypt,EGY,2014,2.65
Egypt,EGY,2016,2.94
Egypt,EGY,2018,2.94
Egypt,EGY,2020,1.76
Egypt,EGY,2022,1.76
Hungary,HUN,2006,9.41
Hungary,HUN,2008,9.12
Hungary,HUN,2010,8.53
Hungary,HUN,2012,8.24
Hungary,HUN,2014,7.94
Hungary,HUN,2016,7.06
Hungary,HUN,2018,7.06
Hungary,HUN,2020,6.76
Hungary,HUN,2022,6.76
Indonesia,IDN,2006,6.76
Indonesia,IDN,2008,6.76
Indonesia,IDN,2010,7.06
Indonesia,IDN,2012,7.65
Indonesia,IDN,2014,7.35
Indonesia,IDN,2016,7.06
Indonesia,IDN,2018,5.59
Indonesia,IDN,2020,5.59
Indonesia,IDN,2022,6.18
Senegal,SEN,2006,5.88
Senegal,SEN,2008,5.88
Senegal,SEN,2010,6.18
Senegal,SEN,2012,6.76
Senegal,SEN,2014,7.06
Senegal,SEN,2016,7.06
Senegal,SEN,2018,6.470000000000001
Senegal,SEN,2020,5.88
Senegal,SEN,2022,5.59
