Entity,Code,Year,Sex ratio - Sex: none - Age: 60 - Variant: estimates
Bangladesh,BGD,1950,111.45
Bangladesh,BGD,1960,113.24
Bangladesh,BGD,1970,119.32
Bangladesh,BGD,1980,110.65
Bangladesh,BGD,1990,110.23
Bangladesh,BGD,2000,115.54
Bangladesh,BGD,2010,104.07
Bangladesh,BGD,2021,93.54
China,CHN,1950,98.24
China,CHN,1960,91.88
China,CHN,1970,91.14
China,CHN,1980,95.35
China,CHN,1990,101.47
China,CHN,2000,105.52
China,CHN,2010,96.6
China,CHN,2021,97.45
India,IND,1950,102.9
India,IND,1960,106.11
India,IND,1970,104.05
India,IND,1980,106.4
India,IND,1990,102.74
India,IND,2000,98.97
India,IND,2010,103.37
India,IND,2021,101.22
South Korea,KOR,1950,87.84
South Korea,KOR,1960,85.96
South Korea,KOR,1970,88.73
South Korea,KOR,1980,86.47
South Korea,KOR,1990,77.14
South Korea,KOR,2000,90.34
South Korea,KOR,2010,96.69
South Korea,KOR,2021,96.9
