Entity,Code,Year,"School enrollment, primary (% gross)"
Brazil,BRA,1970,120.17296
Brazil,BRA,1980,135.24379
Brazil,BRA,1990,142.50539
Ethiopia,ETH,1980,32.34003
Ethiopia,ETH,1990,35.30056
Ethiopia,ETH,2000,51.74644
Ethiopia,ETH,2010,91.03541
Ethiopia,ETH,2022,85.53453
Malawi,MWI,1980,67.54038
Malawi,MWI,1990,70.65137
Malawi,MWI,2000,145.6405
Malawi,MWI,2010,135.9736
Malawi,MWI,2022,126.438255
Nepal,NPL,1970,24.91205
Nepal,NPL,1990,108.61583
Nepal,NPL,2000,114.62774
Nepal,NPL,2010,146.5405
Nepal,NPL,2022,118.803955
Romania,ROU,1990,95.51805
Romania,ROU,2000,104.28696
Romania,ROU,2010,99.974
