Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Mean male height (cm),Continent
Afghanistan,AFG,1996,14.5990095,165.2558607,
Albania,ALB,1996,3.2532666,173.3888563,
Algeria,DZA,1996,4.72869,170.0718002,
Andorra,AND,1996,0.9371487,176.0601667,
Angola,AGO,1996,22.085526,167.3107273,
Antigua and Barbuda,ATG,1996,1.5966976,172.7069903,
Armenia,ARM,1996,3.7208073,171.9966462,
Australia,AUS,1996,0.67736834,179.2046477,
Austria,AUT,1996,0.6333122,177.4077047,
Azerbaijan,AZE,1996,9.194894,169.7494329,
Bahrain,BHR,1996,1.6590166,167.7434113,
Bangladesh,BGD,1996,10.864098,163.8082283,
Belize,BLZ,1996,2.7612474,168.7317804,
Bhutan,BTN,1996,9.528656,165.3058846,
Bolivia,BOL,1996,9.374159,166.8462997,
Botswana,BWA,1996,6.5609903,171.6276505,
Brazil,BRA,1996,4.500676,173.5512114,
Brunei,BRN,1996,1.1985147,165.0090651,
Bulgaria,BGR,1996,1.9317154,178.2402511,
Burkina Faso,BFA,1996,19.232853,169.3288328,
Burundi,BDI,1996,17.050636,166.6352493,
Cambodia,KHM,1996,12.005046,163.3296025,
Cameroon,CMR,1996,14.790911,167.8231913,
Cape Verde,CPV,1996,5.4618254,173.2239364,
Chile,CHL,1996,1.2533222,171.8112817,
Comoros,COM,1996,10.58502,166.1943222,
Croatia,HRV,1996,0.961975,180.7818566,
East Timor,TLS,1996,13.413643,159.7905503,
Ecuador,ECU,1996,3.8158073,167.076619,
Egypt,EGY,1996,6.04934,166.6840579,
Eritrea,ERI,1996,10.746111,168.3564492,
Eswatini,SWZ,1996,9.074701,168.1315991,
Europe,,1996,1.2682626,,
Gambia,GMB,1996,13.345381,165.401738,
Guatemala,GTM,1996,6.161128,163.4083889,
Guinea,GIN,1996,19.302114,167.5446232,
Haiti,HTI,1996,11.968815,172.6377544,
Kenya,KEN,1996,11.003226,169.6400915,
Kiribati,KIR,1996,7.5016623,169.2042839,
Laos,LAO,1996,12.4308815,160.5189936,
Latvia,LVA,1996,1.9024076,181.4223721,
Liberia,LBR,1996,23.736296,163.6602657,
Malawi,MWI,1996,20.498646,162.2277323,
Maldives,MDV,1996,5.760574,167.6836237,
Mali,MLI,1996,20.815565,171.1194632,
Marshall Islands,MHL,1996,4.108362,162.8089916,
Mauritius,MUS,1996,2.27388,170.4992686,
Moldova,MDA,1996,3.8818564,175.489202,
Mozambique,MOZ,1996,21.182522,164.7975642,
Namibia,NAM,1996,7.3870726,166.9643668,
Nepal,NPL,1996,9.992798,162.3183332,
Niger,NER,1996,26.860249,167.6760035,
Nigeria,NGA,1996,20.099087,165.9067896,
Niue,NIU,1996,2.8714087,175.8311176,
North America,,1996,0.8971143,175.9695,
North Korea,PRK,1996,7.5699997,171.9927751,
Oceania,,1996,3.1000006,,
Pakistan,PAK,1996,12.117929,166.9481799,
Papua New Guinea,PNG,1996,7.6061606,163.5678363,
Peru,PER,1996,5.340371,165.2324719,
Rwanda,RWA,1996,22.414114,162.6789315,
Senegal,SEN,1996,13.915176,173.1387425,
Tajikistan,TJK,1996,10.81283,171.2644735,
Togo,TGO,1996,13.356954,168.3303395,
Tonga,TON,1996,1.8498846,176.757346,
Yemen,YEM,1996,10.977541,159.8869411,
