Entity,Code,Year,Annual area burnt by wildfires
Brazil,BRA,2012,39105944
Brazil,BRA,2013,18181296
Brazil,BRA,2014,28605306
Brazil,BRA,2015,41041716
Brazil,BRA,2016,30046108
Brazil,BRA,2017,37599004
Brazil,BRA,2018,19926660
Brazil,BRA,2019,33956044
Brazil,BRA,2020,37356150
Brazil,BRA,2021,29101620
Brazil,BRA,2022,32589640
Brazil,BRA,2023,27701730
Brazil,BRA,2024,1624656
Canada,CAN,2012,2153806
Canada,CAN,2013,3887455
Canada,CAN,2014,4377769
Canada,CAN,2015,4085320
Canada,CAN,2016,1552176
Canada,CAN,2017,4044314
Canada,CAN,2018,2874870
Canada,CAN,2019,2099705
Canada,CAN,2020,611974
Canada,CAN,2021,4469059
Canada,CAN,2022,1739592
Canada,CAN,2023,15252934
Canada,CAN,2024,32834
Russia,RUS,2012,25226848
Russia,RUS,2013,10342552
Russia,RUS,2014,19727104
Russia,RUS,2015,14158067
Russia,RUS,2016,15385533
Russia,RUS,2017,11419954
Russia,RUS,2018,14276583
Russia,RUS,2019,16182166
Russia,RUS,2020,16400821
Russia,RUS,2021,17344448
Russia,RUS,2022,10548458
Russia,RUS,2023,10324628
Russia,RUS,2024,224304
United States,USA,2012,6001286
United States,USA,2013,4542483
United States,USA,2014,4692830
United States,USA,2015,6611853
United States,USA,2016,5607746
United States,USA,2017,6893415
United States,USA,2018,5613224
United States,USA,2019,5052271
United States,USA,2020,7305050
United States,USA,2021,6825104
United States,USA,2022,6562804
United States,USA,2023,4503223
United States,USA,2024,1321424
