Entity,Code,Year,"Genuine saving (Blum, Ducoing, McLaughlin (2017))"
Argentina,ARG,1900,69.36
Argentina,ARG,1920,29.84
Argentina,ARG,1940,186.67
Argentina,ARG,1960,431.04
Argentina,ARG,1980,277.53
Argentina,ARG,2000,26.34
Australia,AUS,1900,-208.56
Australia,AUS,1920,306.89
Australia,AUS,1940,358.08
Australia,AUS,1960,494.87
Australia,AUS,1980,1521.15
Australia,AUS,2000,995.23
Brazil,BRA,1900,0.0
Brazil,BRA,1920,22.06
Brazil,BRA,1940,19.85
Brazil,BRA,1960,-64.73
Brazil,BRA,1980,797.8
Brazil,BRA,2000,678.35
Colombia,COL,1900,-73.69
Colombia,COL,1920,20.72
Colombia,COL,1940,-42.59
Colombia,COL,1960,165.16
Colombia,COL,1980,451.96
Colombia,COL,2000,-32.3
France,FRA,1900,174.41
France,FRA,1920,434.57
France,FRA,1940,-695.5
France,FRA,1960,1243.03
France,FRA,1980,2461.66
France,FRA,2000,2105.99
Germany,DEU,1900,441.83
Germany,DEU,1920,246.1
Germany,DEU,1940,687.34
Germany,DEU,1960,1171.56
Germany,DEU,1980,2125.14
Germany,DEU,2000,2068.08
