Entity,Code,Year,2.5.1 - Number of local breeds for which sufficient genetic resources are stored for reconstitution - ER_GRF_ANIMRCNTN
Argentina,ARG,2000,0
Argentina,ARG,2005,0
Argentina,ARG,2010,0
Argentina,ARG,2015,0
Argentina,ARG,2020,0
Argentina,ARG,2023,0
Austria,AUT,2000,0
Austria,AUT,2005,3
Austria,AUT,2010,3
Austria,AUT,2015,5
Austria,AUT,2020,9
Austria,AUT,2023,9
France,FRA,2020,12
France,FRA,2023,12
Netherlands,NLD,2000,1
Netherlands,NLD,2005,3
Netherlands,NLD,2010,5
Netherlands,NLD,2015,8
Netherlands,NLD,2020,8
Netherlands,NLD,2023,10
Switzerland,CHE,2005,0
Switzerland,CHE,2010,0
Switzerland,CHE,2015,4
Switzerland,CHE,2020,5
Switzerland,CHE,2023,5
