Entity,Code,Year,Mean male height (cm),Continent
East Asia and Pacific,,1896,161.4135,
East Asia and Pacific,,1996,169.2129,
Europe and Central Asia,,1896,165.7233,
Europe and Central Asia,,1996,177.2165,
Latin America and Caribbean,,1896,160.1754,
Latin America and Caribbean,,1996,171.1056,
Middle East and North Africa,,1896,159.5482,
Middle East and North Africa,,1996,170.5135,
North America,,1896,167.8506,
North America,,1996,175.9695,
South Asia,,1896,159.8699,
South Asia,,1996,165.2444,
Sub-Saharan Africa,,1896,162.4242,
Sub-Saharan Africa,,1996,167.3044,
World,OWID_WRL,1896,162.4824417,
World,OWID_WRL,1996,171.2803524,
