Entity,Code,Year,wom_civ_soc_vdem_owid,wom_civ_soc_vdem_high_owid,wom_civ_soc_vdem_low_owid
Argentina,ARG,1789,0.056,0.161,0.016
Argentina,ARG,1850,0.064,0.187,0.02
Argentina,ARG,1900,0.256,0.421,0.144
Argentina,ARG,1950,0.352,0.526,0.186
Argentina,ARG,2000,0.791,0.896,0.648
Argentina,ARG,2022,0.841,0.924,0.694
Australia,AUS,1789,0.456,0.642,0.272
Australia,AUS,1850,0.518,0.695,0.335
Australia,AUS,1900,0.518,0.695,0.335
Australia,AUS,1950,0.525,0.686,0.363
Australia,AUS,2000,0.903,0.964,0.8
Australia,AUS,2022,0.917,0.968,0.796
Botswana,BWA,1900,0.18,0.357,0.074
Botswana,BWA,1950,0.189,0.359,0.074
Botswana,BWA,2000,0.738,0.872,0.574
Botswana,BWA,2022,0.809,0.903,0.631
China,CHN,1789,0.062,0.147,0.023
China,CHN,1850,0.062,0.147,0.023
China,CHN,1900,0.07,0.15,0.029
China,CHN,1950,0.552,0.728,0.388
China,CHN,2000,0.618,0.785,0.448
China,CHN,2022,0.606,0.758,0.427
